Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-14824.27	-14915.86	91.59743	0.9191646	1	0.0313786	0.0269502	0.0296325	0.0337439	0.0434964	0.0149318	0.0149073	0.0239948	0.0158195	0.0400926	0.0235582	0.0189723	0.0428292	0.0289108	0.0164472	0.0168042	0.0846493	0.00972426	0.00808994	0.0470892	0.0759752	0.0255932	0.0437569	0.03495	0.0349228	0.0244885	0.0278338	0.0477208	0.0313393	0.0116599	0.0261902	0.0367177	0.0234653	0.0353035	0.0415033	0.0356807	0.0583292	0.0179515	0.0762776	0.0247925	0.0543392	0.0762292	0.0780033	0.0281063	0.0264742	0.0606643	0.0206148	0.0417361	0.0226626	0.0246057	0.0387426	0.0716324	0.02016	0.0262521	0.03125259	0.03865691	0.00147803	0.450418	0.182902	0.0885503	0.0730646	0.203587	0.01122274	-3.465653	0.136954	0.476752	1	2.38629	0.291791	0.0888865	0.600927	0.0183957	0.04987965	0.2249964
1	1	-21293.39	-21255.97	-37.4139	0.8349037	1	0.065994	0.275117	0.563246	0.114422	0.130887	0.103879	0.284383	0.430302	0.0549651	0.255415	0.286907	0.151685	0.213591	0.0878487	0.296023	0.228589	0.326893	0.273136	0.109671	0.183267	0.629648	0.419322	0.136962	0.363908	0.354366	0.147856	0.178108	1.72876	0.72852	0.262899	0.644273	0.729694	0.256398	0.264131	0.168411	0.0934661	0.586115	0.202439	0.262894	0.254139	0.0777997	0.315848	0.192524	0.544517	0.209922	0.681084	0.22323	0.137525	0.423329	0.163235	0.297852	0.154123	0.291862	0.254419	0.2539188	0.0001692935	0.0674951	0.624058	0.086773	0.0889867	0.0187936	0.113894	0.08374808	-1.370741	0.136954	0.476752	1	2.38629	0.730188	0.106037	0.049681	0.114093	0.08391738	0.9979826
2	0	-9834.957	-9990.081	155.1235	0.4833131	0.2214194	0.00771892	0.0190345	0.00495296	0.0158645	0.007405	0.00461327	0.0039564	0.00340575	0.00550542	0.0137561	0.00800044	0.00238411	0.00815757	0.0104917	0.0171677	0.00379318	0.0146307	0.00909049	0.00197256	0.00992757	0.0201679	0.00419072	0.00727136	0.0118392	0.00989614	0.00261314	0.0113068	0.0134606	0.00194848	0.00344319	0.00576022	0.00124064	0.00827181	0.0167828	0.00759588	0.0146338	0.00296367	0.00314186	0.004786	0.011905	0.00748565	0.00636457	0.00230027	0.00527028	0.00484873	0.00733302	0.00969602	0.00459628	0.0185536	0.0090633	0.00785702	0.00675116	0.00416598	0.00466853	0.00893183	0.05529572	0.0027169	0.414869	0.124508	0.241321	0.116567	0.100017	0.03475992	-4.718134	0.00103576	0.0469737	0.437223	3.51477	0.320341	0.15008	0.461392	0.0681871	0.09005564	0.3859827
3	1	-8041.171	-8110.305	69.13427	0.004277213	0.3084124	0.0096594	0.0408674	0.0859588	0.0038412	0.0237549	0.01969	0.0427685	0.0928227	0.0145788	0.0554449	0.0765458	0.0207858	0.0243946	0.0111757	0.0425469	0.0740514	0.0221763	0.0759665	0.0129514	0.0139416	0.0483586	0.0667833	0.022323	0.0236271	0.0234039	0.0172311	0.0160939	0.0716292	0.0405582	0.0543684	0.132308	0.0379613	0.0201501	0.0424723	0.0125054	0.0218116	0.0130969	0.0085982	0.039071	0.05688	0.0604203	0.0271652	0.0528204	0.0645003	0.0240731	0.0756326	0.0295797	0.036056	0.0264528	0.0299039	0.0299602	0.0158553	0.0142815	0.00585736	0.03720169	-0.038699	0.0446084	0.636946	0.0437007	0.115546	0.0142874	0.144912	0.05480495	-3.291401	0.00600249	0.111053	0.609664	3.27328	0.472449	0.148087	0.15759	0.221874	0.01610595	3.402776
4	0	-8511.862	-8707.622	195.7604	0.4819774	0.1001186	0.00391923	0.0193095	0.00155262	0.00723719	0.00318114	0.00637592	0.00202535	0.00198484	0.00606913	0.0172831	0.0038397	0.0020697	0.0037282	0.00434218	0.00362076	0.00476767	0.00421127	0.0038934	0.00242335	0.0062845	0.0105278	0.00291504	0.00308077	0.00266253	0.00126609	0.00301361	0.00333537	0.00250291	0.00152768	0.00348676	0.00115636	0.000904473	0.00504904	0.00529523	0.00388418	0.00203554	0.00195221	0.00283286	0.00201542	0.00308575	0.00351728	0.00259467	0.00405082	0.00256129	0.00575696	0.0014236	0.00780831	0.00269165	0.0212394	0.000632333	0.00201855	0.00180955	0.00212479	0.00248567	0.002902489	0.06853201	0.00696502	0.383698	0.114718	0.205193	0.152661	0.136766	0.01887968	-5.842187	5.3523e-07	0.00108696	0.0940721	3.90484	0.434053	0.150838	0.30609	0.109019	0.08741169	0.2159858
5	1	-7297.883	-7453.513	155.6295	0.01282356	0.1153948	0.0038823	0.0155242	0.00557011	0.000519906	0.0142224	0.00347453	0.00204693	0.0140891	0.0105527	0.00735643	0.0169691	0.0038775	0.00639292	0.0114793	0.00345681	0.0136716	0.0111229	0.0147189	0.0124931	0.00830345	0.013039	0.0142925	0.00551434	0.00263462	0.00568405	0.00481093	0.00449777	0.0108104	0.00607049	0.00718613	0.00497462	0.00241527	0.00554039	0.0034047	0.00837194	0.00237086	0.00638519	0.00310126	0.00243308	0.00362973	0.00984736	0.00567206	0.00229836	0.00543607	0.0122128	0.00642115	0.0252474	0.00389531	0.00253115	0.00600682	0.0121063	0.00187508	0.010834	0.00101412	0.007135347	-0.1945711	0.263494	0.126223	0.0851571	0.251281	0.0549047	0.21894	0.2196922	-4.942694	3.33862e-06	0.00271061	0.137274	3.86001	0.340238	0.152831	0.159269	0.347661	0.02512108	8.745333
6	0	-7797.929	-8034.409	236.48	0.2200482	0.1434428	0.00183702	0.00225945	0.00127098	0.00266483	0.00180116	0.00215999	0.00173264	0.000972637	0.00164099	0.00199793	0.00177357	0.00104658	0.00180248	0.001853	0.00199188	0.0040182	0.00474578	0.00114078	0.00255641	0.00641401	0.00178043	0.00145175	0.000657383	0.00291572	0.00408865	0.00653593	0.00302112	0.00217641	0.00192272	0.00155417	0.000958902	0.00173516	0.00305966	0.00183964	0.00132704	0.000972264	0.00206078	0.00728866	0.00167825	0.00329546	0.00343206	0.0011827	0.00135701	0.00101305	0.000856914	0.00096493	0.00270619	0.00169268	0.000470071	0.000389026	0.00144473	0.000968294	0.00311239	0.00131776	0.002049965	0.06682981	0.0223962	0.207897	0.17351	0.1883	0.22315	0.184747	0.03373305	-6.189933	3.48232e-05	0.00872533	0.221969	3.76927	0.343222	0.185774	0.29795	0.173054	0.1005629	0.3354424
7	1	-7222.953	-7440.416	217.4631	0.1595707	0.1685012	0.00274532	0.0016853	0.00270141	0.000558549	0.00140776	0.00250768	0.000754266	0.00252553	0.000696394	0.00207269	0.00560182	0.00354205	0.00173145	0.00493891	0.00109933	0.00154346	0.00309027	0.00528629	0.00326794	0.00863546	0.00261232	0.00492892	0.000603276	0.0021925	0.000591343	0.00184871	0.00208651	0.00105534	0.0017925	0.00207354	0.00271022	0.00238434	0.00119228	0.00142547	0.00100786	0.000952599	0.00170713	0.00116466	0.00396909	0.00186756	0.00282182	0.00156003	0.000981456	0.00934018	0.00396221	0.00168379	0.00304867	0.00554779	0.00341828	0.00533683	0.00402706	0.00274042	0.00607101	0.000356722	0.002369702	-0.2264186	0.164644	0.105123	0.0923856	0.106608	0.116388	0.414851	0.2376448	-6.044991	0.000146029	0.0178034	0.296673	3.68538	0.350542	0.157459	0.149504	0.342495	0.01122617	21.16882
8	0	-7193.786	-7465.928	272.142	0.1523915	0.07909286	0.000993325	0.00198782	0.000444779	0.000419488	0.000531453	0.00200946	0.000687638	0.00185507	0.00113822	0.00200132	0.00184022	0.00105795	0.000947183	0.0011008	0.00159632	0.00150742	0.00230332	0.000792721	0.000329067	0.00167522	0.000852525	0.00102358	0.000399255	0.000840921	0.00101697	0.000778649	0.000798777	0.000667894	0.00260577	0.00131021	0.0013524	0.0017741	0.000746295	0.00164254	0.00100403	0.00190844	0.00149029	0.00148945	0.000797728	0.00078531	0.00100641	0.00214877	0.000734959	0.00146718	0.000453493	0.00145499	0.00178725	0.000528967	0.00226144	0.000642127	0.00119602	0.00134853	0.00184905	0.000927931	0.001191324	0.08907766	0.041535	0.235213	0.209941	0.210539	0.210575	0.0921975	0.01549108	-6.73269	1.35336e-08	0.000173165	0.0439095	3.95592	0.373854	0.139133	0.172067	0.314946	0.1045687	0.1481426
9	1	-7195.937	-7441.909	245.9719	0.2028192	0.1277288	0.000986468	0.00149528	0.00212807	0.000398699	0.000718168	0.00234657	0.000658163	0.00202041	0.00154927	0.0016572	0.00257376	0.00166752	0.00121377	0.00324404	0.00330466	0.00235335	0.00202349	0.00304674	0.00259879	0.00230523	0.00140055	0.00624429	0.00069225	0.00431864	0.000937718	0.000625346	0.000853068	0.00157429	0.00167301	0.00249666	0.000915458	0.00294983	0.00241194	0.00135664	0.00142522	0.00154534	0.00345982	0.00129303	0.00153754	0.00106679	0.00144039	0.00124777	0.00102411	0.00211453	0.00122676	0.00154969	0.00129249	0.00194	0.00296462	0.000992321	0.00125037	0.00157756	0.00471563	0.000306435	0.001579777	-0.6548064	0.134798	0.154769	0.123664	0.094098	0.173862	0.318809	0.662733	-6.450472	1.06303e-05	0.0048302	0.174169	3.82099	0.352777	0.163944	0.147373	0.335905	0.007926537	83.6094
