Iteration	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-14824.27	-14915.86	91.59743	0.9191646	1	0.0313786	0.0269502	0.0296325	0.0337439	0.0434964	0.0149318	0.0149073	0.0239948	0.0158195	0.0400926	0.0235582	0.0189723	0.0428292	0.0289108	0.0164472	0.0168042	0.0846493	0.00972426	0.00808994	0.0470892	0.0759752	0.0255932	0.0437569	0.03495	0.0349228	0.0244885	0.0278338	0.0477208	0.0313393	0.0116599	0.0261902	0.0367177	0.0234653	0.0353035	0.0415033	0.0356807	0.0583292	0.0179515	0.0762776	0.0247925	0.0543392	0.0762292	0.0780033	0.0281063	0.0264742	0.0606643	0.0206148	0.0417361	0.0226626	0.0246057	0.0387426	0.0716324	0.02016	0.0262521	0.03125259	0.03865691	0.00147803	0.450418	0.182902	0.0885503	0.0730646	0.203587	0.01122274	-3.465653	0.136954	0.476752	1	2.38629	0.291791	0.0888865	0.600927	0.0183957	0.04987965	0.2249964
10	-9834.957	-9990.081	155.1235	0.4833131	0.2214194	0.00771892	0.0190345	0.00495296	0.0158645	0.007405	0.00461327	0.0039564	0.00340575	0.00550542	0.0137561	0.00800044	0.00238411	0.00815757	0.0104917	0.0171677	0.00379318	0.0146307	0.00909049	0.00197256	0.00992757	0.0201679	0.00419072	0.00727136	0.0118392	0.00989614	0.00261314	0.0113068	0.0134606	0.00194848	0.00344319	0.00576022	0.00124064	0.00827181	0.0167828	0.00759588	0.0146338	0.00296367	0.00314186	0.004786	0.011905	0.00748565	0.00636457	0.00230027	0.00527028	0.00484873	0.00733302	0.00969602	0.00459628	0.0185536	0.0090633	0.00785702	0.00675116	0.00416598	0.00466853	0.00893183	0.05529572	0.0027169	0.414869	0.124508	0.241321	0.116567	0.100017	0.03475992	-4.718134	0.00103576	0.0469737	0.437223	3.51477	0.320341	0.15008	0.461392	0.0681871	0.09005564	0.3859827
20	-8511.862	-8707.622	195.7604	0.4819774	0.1001186	0.00391923	0.0193095	0.00155262	0.00723719	0.00318114	0.00637592	0.00202535	0.00198484	0.00606913	0.0172831	0.0038397	0.0020697	0.0037282	0.00434218	0.00362076	0.00476767	0.00421127	0.0038934	0.00242335	0.0062845	0.0105278	0.00291504	0.00308077	0.00266253	0.00126609	0.00301361	0.00333537	0.00250291	0.00152768	0.00348676	0.00115636	0.000904473	0.00504904	0.00529523	0.00388418	0.00203554	0.00195221	0.00283286	0.00201542	0.00308575	0.00351728	0.00259467	0.00405082	0.00256129	0.00575696	0.0014236	0.00780831	0.00269165	0.0212394	0.000632333	0.00201855	0.00180955	0.00212479	0.00248567	0.002902489	0.06853201	0.00696502	0.383698	0.114718	0.205193	0.152661	0.136766	0.01887968	-5.842187	5.3523e-07	0.00108696	0.0940721	3.90484	0.434053	0.150838	0.30609	0.109019	0.08741169	0.2159858
30	-7797.929	-8034.409	236.48	0.2200482	0.1434428	0.00183702	0.00225945	0.00127098	0.00266483	0.00180116	0.00215999	0.00173264	0.000972637	0.00164099	0.00199793	0.00177357	0.00104658	0.00180248	0.001853	0.00199188	0.0040182	0.00474578	0.00114078	0.00255641	0.00641401	0.00178043	0.00145175	0.000657383	0.00291572	0.00408865	0.00653593	0.00302112	0.00217641	0.00192272	0.00155417	0.000958902	0.00173516	0.00305966	0.00183964	0.00132704	0.000972264	0.00206078	0.00728866	0.00167825	0.00329546	0.00343206	0.0011827	0.00135701	0.00101305	0.000856914	0.00096493	0.00270619	0.00169268	0.000470071	0.000389026	0.00144473	0.000968294	0.00311239	0.00131776	0.002049965	0.06682981	0.0223962	0.207897	0.17351	0.1883	0.22315	0.184747	0.03373305	-6.189933	3.48232e-05	0.00872533	0.221969	3.76927	0.343222	0.185774	0.29795	0.173054	0.1005629	0.3354424
40	-7193.786	-7465.928	272.142	0.1523915	0.07909286	0.000993325	0.00198782	0.000444779	0.000419488	0.000531453	0.00200946	0.000687638	0.00185507	0.00113822	0.00200132	0.00184022	0.00105795	0.000947183	0.0011008	0.00159632	0.00150742	0.00230332	0.000792721	0.000329067	0.00167522	0.000852525	0.00102358	0.000399255	0.000840921	0.00101697	0.000778649	0.000798777	0.000667894	0.00260577	0.00131021	0.0013524	0.0017741	0.000746295	0.00164254	0.00100403	0.00190844	0.00149029	0.00148945	0.000797728	0.00078531	0.00100641	0.00214877	0.000734959	0.00146718	0.000453493	0.00145499	0.00178725	0.000528967	0.00226144	0.000642127	0.00119602	0.00134853	0.00184905	0.000927931	0.001191324	0.08907766	0.041535	0.235213	0.209941	0.210539	0.210575	0.0921975	0.01549108	-6.73269	1.35336e-08	0.000173165	0.0439095	3.95592	0.373854	0.139133	0.172067	0.314946	0.1045687	0.1481426
50	-7157.299	-7440.533	283.234	0.2362791	0.0397125	0.000635391	0.00160991	0.000484968	0.000509437	0.000427681	0.000973599	0.000190329	0.000631383	0.000349885	0.00148715	0.000789908	0.000307446	0.00101533	0.00143436	0.000648641	0.00136806	0.000664133	0.00042052	0.000878754	0.000596639	0.000674012	0.00054923	0.000383705	0.00119002	0.00074485	0.000977816	0.00138955	0.000656965	0.000765048	0.00333662	0.000507738	0.000265785	0.000824296	0.000764527	0.000442662	0.00149163	0.000810075	0.00113977	0.00035399	0.00121715	0.000600067	0.00114653	0.000330789	0.000757902	0.000585205	0.000451367	0.000368513	0.000321478	0.00309111	0.00173213	0.000983301	0.000438384	0.00180815	0.00209545	0.0007978937	0.1475099	0.112297	0.115602	0.193195	0.221514	0.188269	0.169123	0.01822827	-7.133535	3.85352e-16	2.93171e-08	0.0011952	3.9988	0.349508	0.163724	0.147962	0.338806	0.1657382	0.1099823
60	-7152.798	-7430.533	277.7355	0.3831376	0.01858618	0.000503752	0.00213892	0.000633902	0.000702568	0.0004047	0.00175679	0.000782855	0.000727507	0.00111752	0.00090443	0.000872325	0.000177865	0.00107492	0.000681404	0.00104764	0.00204882	0.000374202	0.000978434	0.000737433	0.000618903	0.000598871	0.000711603	0.00155135	0.000432923	0.00133807	0.00230742	0.000604878	0.000912949	0.00147484	0.000541293	0.000899074	0.00067417	0.00157865	0.000706098	0.000599802	0.00118758	0.00164476	0.00348465	0.000279197	0.00226428	0.000295126	0.000702175	0.000782588	0.000532019	0.000819709	0.000611188	0.000398953	0.000185807	0.000526617	0.00054492	0.000433546	0.000458662	0.00332292	0.00100901	0.0007783917	-0.005440765	0.145077	0.215305	0.0864459	0.251317	0.11122	0.190635	0.1186093	-7.158281	2.26475e-33	7.12017e-17	3.1834e-07	4	0.345159	0.151193	0.15392	0.349727	0.1131686	1.048077
70	-7154.866	-7432.67	277.8039	0.230495	0.01117144	0.000481592	0.00348108	0.000547503	0.000458889	0.000595912	0.00213416	0.000623934	0.000990571	0.000858998	0.00138392	0.000842745	0.000239122	0.00199395	0.0010401	0.000577052	0.00128128	0.000233484	0.000594976	0.000589498	0.000709874	0.000602454	0.00131285	0.00128827	0.000848872	0.000828599	0.000996924	0.000682967	0.000698681	0.000256205	0.0027636	0.000627655	0.000479268	0.000504346	0.00093725	0.00173174	0.00108286	0.000418625	0.00155305	0.000917563	0.000746827	0.000563389	0.000261472	0.0020768	0.000762325	0.000572669	0.000411271	0.00103003	0.000605703	0.00189411	0.00123793	0.00101244	0.000646824	0.00117939	0.00148238	0.000816033	0.1965645	0.205736	0.16293	0.102715	0.207574	0.194379	0.126666	0.08561174	-7.111056	7.17249e-55	1.26793e-27	1.10108e-11	4	0.342386	0.149979	0.152684	0.35495	0.2821763	0.3033981
80	-7162.287	-7440.363	278.0753	0.2816411	0.01297173	0.000430872	0.00229105	0.000865119	0.00101869	0.000890434	0.00189161	0.000744752	0.000712244	0.000885278	0.00133478	0.000770713	0.000350476	0.0014209	0.00125033	0.000584818	0.00108847	0.000307078	0.000948976	0.000770103	0.00061213	0.000465555	0.00128342	0.000401936	0.00251226	0.000884574	0.000846665	0.00134291	0.00099157	0.00217052	0.00136351	0.000332416	0.000673138	0.000681249	0.000994736	0.00104025	0.0012954	0.00111276	0.00273866	0.000513165	0.00200455	0.00185197	0.000310997	0.000690653	0.00140882	0.00149334	0.00105046	0.000510499	0.000769553	0.00155036	0.000454861	0.00161859	0.000355622	0.00136206	0.000579734	0.0008964895	-0.02459948	0.114831	0.124826	0.128009	0.197584	0.272463	0.162287	0.1250143	-7.017024	2.16315e-47	6.96203e-24	3.92491e-10	4	0.357954	0.156798	0.158025	0.327224	0.1004148	1.244979
90	-7140.066	-7428.263	288.1966	0.346541	0.008367	0.000443832	0.00262742	0.000290885	0.000695247	0.00111243	0.000791282	0.000624869	0.000486487	0.000998178	0.000871851	0.000518223	0.000200507	0.000918631	0.000752757	0.000758777	0.000913986	0.00041752	0.000685465	0.000781192	0.000927636	0.000537007	0.00238789	0.000612039	0.00170512	0.000790482	0.000570306	0.000722879	0.000543442	0.00149904	0.000453889	0.00136863	0.000402637	0.00201672	0.000638405	0.00139154	0.00111876	0.00105605	0.00221858	0.000570727	0.00149577	0.000522992	0.000292325	0.000400458	0.00231997	0.000514291	0.000563911	0.000741024	0.000685716	0.00071118	0.000608772	0.000680762	0.000258863	0.000801565	0.000607231	0.0007611322	-0.00535652	0.154661	0.155388	0.126445	0.188121	0.166919	0.208465	0.1132834	-7.180704	6.19697e-73	1.17885e-36	1.96551e-15	4	0.355811	0.153138	0.153099	0.337952	0.1079269	1.049631
