Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_occidentalis	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-18730.98	-18706.23	-24.75492	0.9753322	1	0.325302	0.117835	0.457598	0.224143	0.615259	0.290167	0.304587	0.295159	0.274565	0.272196	0.446218	0.293516	0.343126	0.28883	0.47962	0.199351	0.0900247	0.18465	0.239657	0.184264	0.36151	0.419853	0.277956	0.132811	0.167343	0.281259	0.345451	0.369761	0.118341	0.783891	0.333598	0.313801	0.387334	0.333859	0.195135	0.136767	0.187471	0.330191	0.431685	0.143239	0.556646	0.199316	0.707218	0.660333	0.160134	0.126253	0.161447	0.15077	0.275208	0.407962	0.384835	0.240446	0.196385	0.132407	0.2632479	-0.01673322	0.226021	0.0387236	0.0800328	0.028045	0.461571	0.165606	0.02018733	-1.334659	0.136954	0.476752	1	2.38629	0.164946	0.204295	0.440906	0.189854	0.003454115	5.84443
1	1	-12310.04	-12525.23	215.1952	0.9259973	1	0.00245359	0.00222931	0.00133451	0.00149961	0.0022047	0.00512175	0.00217852	0.00300612	0.00421352	0.0028171	0.00180224	0.00422233	0.00264016	0.00558812	0.00266973	0.00485196	0.00292518	0.00199751	0.000863226	0.00277198	0.00229916	0.00517711	0.0042921	0.0018198	0.00264167	0.0025266	0.00344179	0.000892828	0.00255996	0.00623817	0.00222142	0.00497771	0.00141261	0.00565832	0.00243502	0.00121144	0.00410964	0.0039416	0.00206494	0.00270146	0.00661468	0.00157019	0.00510753	0.00570632	0.00836285	0.00248109	0.00519771	0.00132341	0.0020096	0.0126971	0.00458972	0.00158495	0.0050481	0.00268769	0.002992433	-0.1438128	0.0807046	0.112056	0.317469	0.0102001	0.24201	0.237561	0.1633091	-5.811669	0.136954	0.476752	1	2.38629	0.0296867	0.544426	0.233116	0.192771	0.01949635	8.376395
2	0	-8158.603	-8259.583	100.9798	0.06227093	0.2187503	0.0272703	0.00491712	0.0392986	0.0133174	0.0258678	0.0250414	0.0200984	0.00869003	0.0138607	0.0746812	0.0221257	0.0415552	0.0163523	0.0314087	0.0668697	0.00997011	0.0085785	0.0145268	0.0173007	0.0093449	0.0254211	0.0228163	0.0339943	0.0179382	0.01544	0.0190674	0.0150418	0.0350454	0.00695678	0.0364551	0.0172733	0.0173696	0.0154699	0.00414958	0.0154708	0.00873072	0.00906731	0.0113008	0.0393816	0.00846079	0.0207709	0.0230702	0.016067	0.0596762	0.0167946	0.00732239	0.0325483	0.0130553	0.0155654	0.00957477	0.0206391	0.0075557	0.0117678	0.0101444	0.02624313	-0.02696219	0.113691	0.0490917	0.0660319	0.0213371	0.567773	0.182075	0.03103799	-3.640351	0.000959901	0.0452442	0.430804	3.52299	0.181207	0.200007	0.221476	0.397309	0.004075801	7.615188
3	1	-8266.332	-8532.969	266.6372	0.1368671	0.3262612	0.000451283	0.000566775	9.85356e-05	0.000633685	0.000453209	0.00175308	0.00152161	0.00112881	0.00208694	0.00282172	0.00134583	0.00104984	0.00110333	0.00123825	0.00102781	0.00195229	0.000812754	0.000788269	0.00130587	0.001111	0.000855157	0.000681617	0.00121613	0.000634003	0.000707813	0.00100455	0.000475378	0.000374402	0.00110007	0.00323487	0.00134036	0.000980063	0.000701492	0.000865195	0.00110237	0.00119442	0.00158038	0.000810209	0.00115868	0.000978644	0.000663782	0.000692869	0.000748195	0.00247432	0.000597543	0.000351895	0.00113523	0.000590711	0.00175708	0.00202327	0.00144335	0.00127922	0.00316339	0.00169353	0.001159523	-0.4400409	0.097695	0.126686	0.287602	0.013154	0.288409	0.186455	0.444359	-6.759747	0.00766559	0.125018	0.63738	3.22994	0.133565	0.226466	0.307084	0.332885	0.004318137	102.9053
4	0	-7563.742	-7745.894	182.1526	0.02136759	0.08139191	0.00611876	0.0033976	0.00603384	0.00737036	0.0107994	0.0155831	0.0112576	0.0055732	0.00210668	0.0195315	0.00183945	0.00284208	0.00274758	0.00194832	0.00429445	0.004416	0.00314916	0.00234585	0.00677527	0.00627461	0.00991901	0.00449887	0.0115494	0.0118711	0.00486349	0.00371623	0.00610314	0.00315364	0.00331698	0.005127	0.00482047	0.00499765	0.0118418	0.00143644	0.0075933	0.0147736	0.0122056	0.00777845	0.00559035	0.00561765	0.00729226	0.0130722	0.00647509	0.00749088	0.00332799	0.0046688	0.00252945	0.00357042	0.0036134	0.00206424	0.00475222	0.00352742	0.00246647	0.00356884	0.004932607	-0.08253914	0.253402	0.108936	0.103246	0.0570231	0.232643	0.24475	0.08346227	-5.311888	2.21955e-08	0.000221718	0.0486536	3.95112	0.256005	0.208283	0.168908	0.366804	0.0009231303	90.41223
5	1	-7280.985	-7565.441	284.4553	0.581711	0.8633228	0.00159405	0.00095967	7.51798e-05	0.000567209	0.000478175	0.0011128	0.00168738	0.000739438	0.000704211	0.00187143	0.00189119	0.00131691	0.000522337	0.000622554	0.000716386	0.000590797	0.000598183	0.0016221	0.000857287	0.000580124	0.000851497	0.000782334	0.000392354	0.000637863	0.00109353	0.000607506	0.000460201	0.000502168	0.000456877	0.000817392	0.000692132	0.00121897	0.000982044	0.000910657	0.00197494	0.00140791	0.000811373	0.00228358	0.0015961	0.00063463	0.000327431	0.000580899	0.00141944	0.00135126	0.00060065	0.000536039	0.000859885	0.000249726	0.000515069	0.000508214	0.000820175	0.00145275	0.00028287	0.00107507	0.0007571795	-0.1596238	0.172896	0.136104	0.268087	0.011164	0.149176	0.262573	0.161494	-7.18591	0.108944	0.431432	0.973067	2.48656	0.261021	0.196753	0.176492	0.365734	0.001870198	86.35132
6	0	-7242.146	-7472.427	230.2818	0.1591986	0.06471444	0.002496	0.00299789	0.00409502	0.00370284	0.00335391	0.00756707	0.00230998	0.00169484	0.00390579	0.00951241	0.00215545	0.00147976	0.00324883	0.000854864	0.00359175	0.00158462	0.0012431	0.00253753	0.00360602	0.00470423	0.00118688	0.00154516	0.00130116	0.00129438	0.000909889	0.00318998	0.00207066	0.0011653	0.00184644	0.00517691	0.0024045	0.00307107	0.00158466	0.000665908	0.00231259	0.00191383	0.00328506	0.00385366	0.00286009	0.00185824	0.00118744	0.00269318	0.0025172	0.00192947	0.00276806	0.00330193	0.00439786	0.00164286	0.00228971	0.00606707	0.00258535	0.0019454	0.00162163	0.00302779	0.002295631	-0.09775157	0.195613	0.122296	0.119518	0.193903	0.1268	0.24187	0.0986563	-6.076748	2.76165e-10	2.47664e-05	0.019585	3.98039	0.359301	0.15553	0.153417	0.331752	0.0009047227	109.0459
7	1	-7198.666	-7460.895	262.2287	0.2300203	1.326912	0.000495797	0.00165474	0.000253471	0.00071937	0.00066066	0.00154461	0.0057496	0.000891163	0.000791432	0.0018954	0.00234794	0.00167771	0.000511495	0.000804842	0.00114995	0.000294373	0.000180908	0.00359026	0.000286649	0.00148171	0.000725069	0.000346741	0.00137677	0.00207111	0.00270563	0.000413318	0.000802634	0.000900474	0.00125129	0.000809528	0.000549524	0.000559836	0.000889459	0.000530792	0.00156421	0.00138817	0.000929239	0.00056482	0.00265794	0.00118113	0.000711963	0.000793715	0.000552705	0.00036205	0.000603828	0.00126533	0.00129	0.000271647	0.00155729	0.000279616	0.00116143	0.00328474	0.00121371	0.000599548	0.000855177	-0.2480261	0.284155	0.137961	0.0887285	0.0100283	0.211129	0.267998	0.2562496	-7.064202	0.197304	0.556959	1.0384	2.20733	0.342219	0.181063	0.140147	0.33657	0.008223534	31.16052
8	0	-7220.294	-7473.626	253.3317	0.3026796	0.08887146	0.00135025	0.0015458	0.002647	0.00212424	0.00133277	0.00387238	0.000619817	0.000920234	0.00079888	0.00280495	0.00174604	0.000960914	0.00147455	0.000376408	0.0016699	0.00110184	0.000810691	0.00223934	0.00186336	0.00076323	0.000688605	0.00104249	0.00171417	0.00243364	0.00203405	0.00143823	0.000906197	0.000948684	0.00238891	0.00169787	0.00134108	0.00199151	0.00258081	0.00202879	0.00174338	0.00274067	0.000765625	0.00138035	0.000699116	0.00191968	0.00135418	0.000820904	0.00189131	0.00125709	0.000784711	0.00102057	0.00266614	0.000418443	0.000658391	0.0023834	0.000647741	0.00831375	0.00167716	0.000896502	0.001581267	-0.3980013	0.158392	0.130811	0.124561	0.26151	0.176	0.148725	0.3989368	-6.449529	9.29578e-08	0.00045345	0.0654724	3.93407	0.353746	0.148345	0.160783	0.337125	0.0009354769	426.4529
9	1	-7183.082	-7457.895	274.8129	0.6860916	0.9039431	0.00168243	0.00100292	0.000479013	0.00117034	0.00104759	0.00080566	0.000818496	0.000497933	0.000562316	0.00182338	0.00219706	0.000613506	0.00110968	0.00138801	0.00137137	0.000265796	0.000170855	0.00138545	0.000609283	0.000382606	0.0006253	0.00111975	0.000676535	0.00160184	0.000185816	0.000713318	0.000680443	0.00113962	0.000565359	0.00138805	0.00103827	0.00128847	0.00200327	0.00080854	0.000767972	0.00152038	0.000855729	0.000594872	0.00183656	0.00161188	0.000827684	0.000245869	0.00156731	0.000182946	0.000638278	0.000905621	0.000607551	0.00082912	0.00177007	0.00049455	0.00153335	0.00217947	0.000794868	0.00164251	0.0008698577	-0.3205101	0.308942	0.167318	0.122131	0.0114721	0.189162	0.200976	0.3260567	-7.047181	0.117412	0.445846	0.982063	2.45468	0.361077	0.170795	0.150644	0.317483	0.005546626	58.78469
