Iteration	Posterior	Likelihood	Prior	age_occidentalis	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-18730.98	-18706.23	-24.75492	0.9753322	1	0.325302	0.117835	0.457598	0.224143	0.615259	0.290167	0.304587	0.295159	0.274565	0.272196	0.446218	0.293516	0.343126	0.28883	0.47962	0.199351	0.0900247	0.18465	0.239657	0.184264	0.36151	0.419853	0.277956	0.132811	0.167343	0.281259	0.345451	0.369761	0.118341	0.783891	0.333598	0.313801	0.387334	0.333859	0.195135	0.136767	0.187471	0.330191	0.431685	0.143239	0.556646	0.199316	0.707218	0.660333	0.160134	0.126253	0.161447	0.15077	0.275208	0.407962	0.384835	0.240446	0.196385	0.132407	0.2632479	-0.01673322	0.226021	0.0387236	0.0800328	0.028045	0.461571	0.165606	0.02018733	-1.334659	0.136954	0.476752	1	2.38629	0.164946	0.204295	0.440906	0.189854	0.003454115	5.84443
10	-8158.603	-8259.583	100.9798	0.06227093	0.2187503	0.0272703	0.00491712	0.0392986	0.0133174	0.0258678	0.0250414	0.0200984	0.00869003	0.0138607	0.0746812	0.0221257	0.0415552	0.0163523	0.0314087	0.0668697	0.00997011	0.0085785	0.0145268	0.0173007	0.0093449	0.0254211	0.0228163	0.0339943	0.0179382	0.01544	0.0190674	0.0150418	0.0350454	0.00695678	0.0364551	0.0172733	0.0173696	0.0154699	0.00414958	0.0154708	0.00873072	0.00906731	0.0113008	0.0393816	0.00846079	0.0207709	0.0230702	0.016067	0.0596762	0.0167946	0.00732239	0.0325483	0.0130553	0.0155654	0.00957477	0.0206391	0.0075557	0.0117678	0.0101444	0.02624313	-0.02696219	0.113691	0.0490917	0.0660319	0.0213371	0.567773	0.182075	0.03103799	-3.640351	0.000959901	0.0452442	0.430804	3.52299	0.181207	0.200007	0.221476	0.397309	0.004075801	7.615188
20	-7563.742	-7745.894	182.1526	0.02136759	0.08139191	0.00611876	0.0033976	0.00603384	0.00737036	0.0107994	0.0155831	0.0112576	0.0055732	0.00210668	0.0195315	0.00183945	0.00284208	0.00274758	0.00194832	0.00429445	0.004416	0.00314916	0.00234585	0.00677527	0.00627461	0.00991901	0.00449887	0.0115494	0.0118711	0.00486349	0.00371623	0.00610314	0.00315364	0.00331698	0.005127	0.00482047	0.00499765	0.0118418	0.00143644	0.0075933	0.0147736	0.0122056	0.00777845	0.00559035	0.00561765	0.00729226	0.0130722	0.00647509	0.00749088	0.00332799	0.0046688	0.00252945	0.00357042	0.0036134	0.00206424	0.00475222	0.00352742	0.00246647	0.00356884	0.004932607	-0.08253914	0.253402	0.108936	0.103246	0.0570231	0.232643	0.24475	0.08346227	-5.311888	2.21955e-08	0.000221718	0.0486536	3.95112	0.256005	0.208283	0.168908	0.366804	0.0009231303	90.41223
30	-7242.146	-7472.427	230.2818	0.1591986	0.06471444	0.002496	0.00299789	0.00409502	0.00370284	0.00335391	0.00756707	0.00230998	0.00169484	0.00390579	0.00951241	0.00215545	0.00147976	0.00324883	0.000854864	0.00359175	0.00158462	0.0012431	0.00253753	0.00360602	0.00470423	0.00118688	0.00154516	0.00130116	0.00129438	0.000909889	0.00318998	0.00207066	0.0011653	0.00184644	0.00517691	0.0024045	0.00307107	0.00158466	0.000665908	0.00231259	0.00191383	0.00328506	0.00385366	0.00286009	0.00185824	0.00118744	0.00269318	0.0025172	0.00192947	0.00276806	0.00330193	0.00439786	0.00164286	0.00228971	0.00606707	0.00258535	0.0019454	0.00162163	0.00302779	0.002295631	-0.09775157	0.195613	0.122296	0.119518	0.193903	0.1268	0.24187	0.0986563	-6.076748	2.76165e-10	2.47664e-05	0.019585	3.98039	0.359301	0.15553	0.153417	0.331752	0.0009047227	109.0459
40	-7220.294	-7473.626	253.3317	0.3026796	0.08887146	0.00135025	0.0015458	0.002647	0.00212424	0.00133277	0.00387238	0.000619817	0.000920234	0.00079888	0.00280495	0.00174604	0.000960914	0.00147455	0.000376408	0.0016699	0.00110184	0.000810691	0.00223934	0.00186336	0.00076323	0.000688605	0.00104249	0.00171417	0.00243364	0.00203405	0.00143823	0.000906197	0.000948684	0.00238891	0.00169787	0.00134108	0.00199151	0.00258081	0.00202879	0.00174338	0.00274067	0.000765625	0.00138035	0.000699116	0.00191968	0.00135418	0.000820904	0.00189131	0.00125709	0.000784711	0.00102057	0.00266614	0.000418443	0.000658391	0.0023834	0.000647741	0.00831375	0.00167716	0.000896502	0.001581267	-0.3980013	0.158392	0.130811	0.124561	0.26151	0.176	0.148725	0.3989368	-6.449529	9.29578e-08	0.00045345	0.0654724	3.93407	0.353746	0.148345	0.160783	0.337125	0.0009354769	426.4529
50	-7155.041	-7433.861	278.8197	0.5753663	0.08654748	0.000576467	0.000716215	0.00143485	0.00268039	0.00160288	0.00239919	0.000893686	0.00148428	0.000971163	0.00101473	0.000851195	0.000561659	0.00110627	0.00072906	0.00109005	0.00107351	0.000396999	0.00131096	0.00247424	0.00136328	0.000399443	0.00104042	0.00141931	0.0006955	0.000915785	0.00122124	0.000684076	0.000565525	0.000679933	0.00192176	0.000531573	0.00199939	0.000451221	0.000993165	0.000661678	0.00135903	0.000719315	0.00159888	0.000528134	0.00106615	0.00109182	0.00195996	0.000668393	0.000972595	0.00117958	0.000707222	0.000788226	0.00122615	0.000905259	0.00101771	0.00168766	0.000957249	0.00195661	0.000745995	0.001076473	-0.9181536	0.196571	0.19924	0.102911	0.163522	0.110301	0.227454	0.9187497	-6.834065	6.11701e-08	0.000367913	0.0600334	3.9396	0.353746	0.148345	0.160783	0.337125	0.0005961122	1541.236
60	-7194.526	-7429.929	235.4024	0.2526674	0.1398697	0.000839474	0.00319774	0.00134787	0.00174705	0.000429854	0.00709742	0.00204753	0.0040857	0.00143576	0.00338952	0.000542818	0.00236374	0.00169137	0.00168977	0.0012752	0.00114357	0.000267945	0.00310489	0.000948511	0.00111285	0.000556525	0.00109689	0.00135412	0.00305396	0.00223019	0.00128123	0.0013149	0.00137584	0.000673821	0.000732196	0.000207049	0.00240207	0.00102488	0.00357899	0.00109825	0.00184316	0.00148396	0.00428087	0.000668963	0.00102831	0.000662422	0.0011074	0.000551027	0.000998258	0.00105835	0.00103543	0.00361374	0.00277678	0.00295466	0.00592934	0.000721087	0.00311107	0.0020623	0.00327329	0.001515569	-0.4386971	0.10195	0.159936	0.109248	0.272583	0.104492	0.25179	0.4403448	-6.491964	2.72196e-05	0.00771774	0.2111	3.78115	0.347882	0.145694	0.159675	0.34675	0.001647695	267.249
70	-7150.183	-7426.59	276.4067	0.3357646	0.1376937	0.00118753	0.000786715	0.00131141	0.000755445	0.000612007	0.00458308	0.00120553	0.000707761	0.000672864	0.00252665	0.000898818	0.00476478	0.00268602	0.000815028	0.00048762	0.000571218	0.000366325	0.00118507	0.000800456	0.000794557	0.000589778	0.00147426	0.0010897	0.00040957	0.000605161	0.000312501	0.00075488	0.000393099	0.00160576	0.000897912	0.000794626	0.000762031	0.000685732	0.00226405	0.00135485	0.00121903	0.000501789	0.000383412	0.000933272	0.000970693	0.000903263	0.00131027	0.000567862	0.000702687	0.00140372	0.000563022	0.000965505	0.00166806	0.000675581	0.000476144	0.00077134	0.000612734	0.00136229	0.00193582	0.0009002704	-0.4750726	0.17146	0.157282	0.0797699	0.176097	0.186716	0.228674	0.4770316	-7.012815	2.32809e-05	0.00713952	0.204473	3.78836	0.353485	0.14804	0.155954	0.342521	0.001959006	243.5069
80	-7167.178	-7441.182	274.0031	0.3846771	0.1256191	0.000598867	0.000756114	0.000689693	0.00123743	0.00107745	0.00270867	0.00144763	0.000868727	0.000412655	0.0016086	0.00126555	0.00435126	0.0016974	0.000622217	0.000584926	0.00106061	0.00063583	0.000639855	0.000776974	0.00307396	0.000826735	0.000961889	0.000452991	0.000651249	0.000371788	0.00108704	0.00163801	0.000922238	0.00176881	0.000883497	0.000362209	0.00138035	0.000393144	0.00227289	0.00241798	0.00128703	0.00040256	0.00076602	0.000438668	0.000740915	0.00171748	0.00159058	0.000602605	0.00119453	0.000731855	0.000870426	0.00088526	0.00113291	0.000556195	0.000870693	0.000425973	0.00248556	0.00165044	0.000671062	0.000871717	-0.1600708	0.207415	0.17635	0.0779081	0.210767	0.142104	0.185456	0.160709	-7.045046	8.86183e-06	0.00441123	0.167788	3.82779	0.356618	0.147537	0.157336	0.338509	0.0006381929	251.8188
90	-7159.31	-7436.302	276.9924	0.4428584	0.1957799	0.00168676	0.00118982	0.000690189	0.000844291	0.0012243	0.00297996	0.0015048	0.00161683	0.000335729	0.00119098	0.00115435	0.00158101	0.00154829	0.000337318	0.000843044	0.000759487	0.000359961	0.000245462	0.000673105	0.000787988	0.00178402	0.000604148	0.000836261	0.00160158	0.000328159	0.00118388	0.00106969	0.000795134	0.00131348	0.000798257	0.00046542	0.00118177	0.000586919	0.00351969	0.00166672	0.00178487	0.000363752	0.000573603	0.00160854	0.000462807	0.000555564	0.000847102	0.00136184	0.000686407	0.0010738	0.000837625	0.000974639	0.000299972	0.00060633	0.000246175	0.000584747	0.000579689	0.00071592	0.00093036	0.0007703259	-0.4170001	0.222122	0.191107	0.119498	0.200726	0.121228	0.145319	0.4173079	-7.168697	0.000457737	0.0313769	0.372554	3.59561	0.356522	0.147498	0.157563	0.338418	0.0003077805	1355.862
