Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-10133.14	-9867.611	-265.5322	17.99978	1	0.0677563	0.358709	0.113567	0.0689979	0.00064287	0.0113105	0.314964	0.11367	1.69329	1.66387	0.218	0.169317	0.292516	0.0336923	0.142326	0.742571	0.064228	1.4536	0.165279	0.438598	0.316564	0.0374081	0.0699215	0.143793	0.0224707	0.204556	1.12041	0.285489	0.393354	0.466383	0.416853	0.0213637	0.00051259	0.0021364	0.326054	1.33867	0.571068	0.157704	0.569467	0.498999	1.09993	0.303766	0.4707567	0.04288271	0.146045	0.0056894	0.356101	0.369925	0.101397	0.0208414	38.74852	0.0288555	0	40.77726	0.1464345	0.136954	0.476752	1	2.38629	0.268379	0.0496404	0.101124	0.580856	0.07173821	0.4022334
1	1	-8441.397	-8120.647	-320.7499	43.03271	1	0.0311064	0.0185627	0.0165936	0.254875	0.0098496	0.0757974	0.023726	0.0201554	0.0623034	0.194274	0.0107126	0.134232	0.0503124	0.0263916	0.0109892	0.070898	0.0104323	0.0364063	0.114648	0.0700344	0.070361	0.0715729	0.0104605	0.00420482	0.00358333	0.0560515	0.0182293	0.100511	0.0266388	0.121359	0.0338557	0.0235064	0.0730329	0.00995744	0.059329	0.0482655	0.0150125	0.0696095	0.0869252	0.0100063	0.0443298	0.0343496	0.06139372	-0.01298229	0.120995	0.103536	0.416582	0.078004	0.166322	0.114561	45.98275	0.01475926	0	48.70381	0.02633812	0.136954	0.476752	1	2.38629	0.416381	0.393394	0.141914	0.0483109	0.001776971	8.30585
2	0	-5514.666	-5342.692	-171.9743	29.15103	0.2658732	0.00371033	0.0538716	0.0070687	0.0058521	2.21808e-05	0.000711173	0.0219436	0.00929572	0.0954509	0.0184729	0.00792635	0.00610526	0.0128598	0.00131809	0.0116456	0.111755	0.00873656	0.0533459	0.0149245	0.0181345	0.0538861	0.00657254	0.00395053	0.00319086	0.00170684	0.045057	0.0354503	0.0101148	0.0208206	0.0202657	0.0225117	0.00240505	5.58779e-05	0.000147551	0.00896119	0.0207553	0.15355	0.0101653	0.010672	0.0139662	0.0186749	0.00715616	0.07285751	0.02155917	0.0886138	0.0178443	0.453626	0.132724	0.241416	0.0657764	32.42261	0.04803074	2	39.42503	0.1299875	0.00293551	0.0783692	0.533786	3.38491	0.269202	0.0830166	0.107437	0.540345	0.06958991	0.6901969
3	1	-4693.032	-4503.712	-189.3204	18.96152	1.000086	0.00529907	0.00200452	0.00560072	0.016816	0.00444402	0.00627906	0.00423864	0.00267318	0.00741764	0.0477895	0.00202512	0.0254456	0.0190038	0.00914751	0.00626799	0.0492842	0.00112733	0.00729744	0.0600355	0.00735766	0.00931713	0.026386	0.0145659	0.00419794	0.000369838	0.00621091	0.00178143	0.0192891	0.0130153	0.00188417	0.00523945	0.00190858	0.0140862	0.000853533	0.00496757	0.00501644	0.00432763	0.00727767	0.000645757	0.00058344	0.00287159	0.022146	0.01182301	-0.02884728	0.118077	0.194409	0.100319	0.0624936	0.327654	0.197047	45.36375	0.03413578	1	45.84805	0.06774649	0.136971	0.476778	1.00001	2.38624	0.402219	0.2892	0.217793	0.0907885	0.005288501	6.454717
4	0	-4507.67	-4381.171	-126.498	16.71149	0.3327429	0.00160476	0.0249623	0.02454	0.00153852	2.57198e-05	0.00204609	0.0316304	0.0059566	0.0323272	0.00741825	0.0118415	0.00843779	0.0259722	0.000897996	0.00876724	0.0522174	0.0090165	0.0263469	0.0128495	0.00777587	0.024926	0.00344275	0.00480882	0.0145505	0.000219993	0.00282178	0.0716069	0.00563601	0.0305665	0.0117488	0.00770745	0.00315096	4.99645e-05	3.51212e-06	0.004624	0.00113273	0.065905	0.012568	0.0319632	0.00291254	0.0274874	0.00397368	0.015417	0.006653643	0.0791548	0.0737378	0.185499	0.0793205	0.405791	0.176497	32.91804	0.08473649	3	39.35032	0.1471948	0.00832338	0.130091	0.646907	3.21468	0.328578	0.153017	0.179486	0.338919	0.09139013	0.9271952
5	1	-3961.22	-3817.386	-143.8342	19.61909	0.2333203	0.00682939	0.00194009	0.00420083	0.00786109	0.00435347	0.00254209	0.00455283	0.00354156	0.0197345	0.0513632	0.00245329	0.0352915	0.0156162	0.0109792	0.0112853	0.0146199	0.0009161	0.0275383	0.0251865	0.012658	0.00570978	0.0266519	0.0121025	0.00466544	0.00185935	0.00596569	0.00327031	0.0126675	0.012804	0.00272034	0.0177392	0.0022694	0.0167512	0.00101697	0.00930002	0.0162749	0.00525563	0.00336928	0.00108983	0.00241418	0.00276345	0.00202949	0.008281745	-0.02310662	0.0300652	0.218118	0.00860801	0.0203633	0.653049	0.0697965	41.06499	0.04034694	1	44.3881	0.1669077	0.00142337	0.0549373	0.464966	3.47867	0.302399	0.297438	0.145884	0.254278	0.01724033	2.340266
6	0	-4025.041	-3915.944	-109.0964	15.26992	0.1626149	0.00183598	0.00871424	0.0732355	0.00026711	3.88602e-05	0.00628265	0.0372911	0.00643207	0.019072	0.00189392	0.0176416	0.00655715	0.0266999	0.000979065	0.00533311	0.0554921	0.00941728	0.0339968	0.0138165	0.0104113	0.0232575	0.00507729	0.0103256	0.0470512	0.000174454	0.0010662	0.0315365	0.00613475	0.011209	0.016381	0.00860158	0.0111013	7.74318e-05	2.93146e-06	0.0104169	0.00292066	0.0475565	0.00717389	0.00855362	0.00618129	0.00934502	0.00340474	0.01743426	0.0242038	0.0253256	0.191064	0.0462081	0.0214138	0.612668	0.10332	29.71684	0.09257983	5	40.15372	0.1244732	0.000108511	0.0153607	0.279464	3.70507	0.280417	0.297345	0.176534	0.245703	0.1167836	0.7927466
7	1	-3862.723	-3760.424	-102.2986	17.63506	0.1939637	0.00672677	0.00635848	0.00900777	0.024385	0.00618433	0.00321903	0.00568567	0.00370372	0.0212052	0.0133806	0.00251661	0.00347447	0.0160502	0.0199746	0.0132637	0.0198084	0.000854645	0.0130403	0.0050365	0.0111442	0.013897	0.0339237	0.00928662	0.00288405	0.00805977	0.00773475	0.025223	0.025446	0.00489865	0.00229818	0.00691227	0.00852143	0.00490131	0.00197484	0.014076	0.00841668	0.00215572	0.00226059	0.00234597	0.0020449	0.00264368	0.00172124	0.008168924	-0.01515495	0.0190745	0.296877	0.0058578	0.00638344	0.621065	0.0507426	30.95091	0.060445	3	41.81068	0.2041372	0.000428479	0.0303673	0.367721	3.60148	0.299844	0.289861	0.158166	0.252129	0.04529005	1.33462
8	0	-3974.902	-3873.984	-100.918	10.63294	0.2038038	0.00213262	0.00694348	0.0711371	0.000190579	5.07298e-05	0.00864785	0.0289786	0.00722466	0.0161081	0.00257005	0.0136035	0.0131072	0.0463717	0.00173483	0.00810753	0.0732384	0.00534703	0.0440964	0.0194355	0.0116312	0.0119507	0.0025111	0.0439761	0.0281846	0.000197941	0.00113098	0.0347126	0.00493922	0.0198842	0.0221841	0.0308683	0.00630102	0.000232442	1.35083e-06	0.0120484	0.0103942	0.0716284	0.0082671	0.00699978	0.00656238	0.0122285	0.00432051	0.01913717	0.07455352	0.0148791	0.195319	0.0414898	0.0218907	0.663448	0.0629728	32.54893	0.08640281	5	40.06513	0.2295917	0.000604257	0.0359983	0.393512	3.56988	0.303636	0.293508	0.160324	0.242532	0.1609563	0.536809
9	1	-3841.345	-3737.098	-104.2468	17.63506	0.2016867	0.0116642	0.00572874	0.009814	0.0189639	0.0080036	0.00216867	0.00678828	0.00863115	0.0318689	0.00673714	0.00159829	0.00560673	0.0100101	0.0209945	0.0141914	0.0155088	0.000667515	0.00916073	0.00351048	0.0186067	0.0214688	0.0492095	0.00769328	0.00357569	0.00580001	0.00409	0.0170218	0.0246839	0.0043914	0.00117571	0.00775836	0.00465366	0.0053033	0.00165076	0.0180317	0.00724685	0.00178358	0.000765264	0.00450338	0.00161243	0.00350423	0.001285	0.007645707	-0.01515495	0.0170233	0.502496	0.00176259	0.00305391	0.458142	0.017522	30.95091	0.060445	3	41.81068	0.2041372	0.000562774	0.0347542	0.388046	3.57664	0.297305	0.295875	0.156826	0.249994	0.04529005	1.33462
