Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-8441.397	-8120.647	-320.7499	43.03271	1	0.0311064	0.0185627	0.0165936	0.254875	0.0098496	0.0757974	0.023726	0.0201554	0.0623034	0.194274	0.0107126	0.134232	0.0503124	0.0263916	0.0109892	0.070898	0.0104323	0.0364063	0.114648	0.0700344	0.070361	0.0715729	0.0104605	0.00420482	0.00358333	0.0560515	0.0182293	0.100511	0.0266388	0.121359	0.0338557	0.0235064	0.0730329	0.00995744	0.059329	0.0482655	0.0150125	0.0696095	0.0869252	0.0100063	0.0443298	0.0343496	0.06139372	-0.01298229	0.120995	0.103536	0.416582	0.078004	0.166322	0.114561	45.98275	0.01475926	0	48.70381	0.02633812	0.136954	0.476752	1	2.38629	0.416381	0.393394	0.141914	0.0483109	0.001776971	8.30585
10	-4693.032	-4503.712	-189.3204	18.96152	1.000086	0.00529907	0.00200452	0.00560072	0.016816	0.00444402	0.00627906	0.00423864	0.00267318	0.00741764	0.0477895	0.00202512	0.0254456	0.0190038	0.00914751	0.00626799	0.0492842	0.00112733	0.00729744	0.0600355	0.00735766	0.00931713	0.026386	0.0145659	0.00419794	0.000369838	0.00621091	0.00178143	0.0192891	0.0130153	0.00188417	0.00523945	0.00190858	0.0140862	0.000853533	0.00496757	0.00501644	0.00432763	0.00727767	0.000645757	0.00058344	0.00287159	0.022146	0.01182301	-0.02884728	0.118077	0.194409	0.100319	0.0624936	0.327654	0.197047	45.36375	0.03413578	1	45.84805	0.06774649	0.136971	0.476778	1.00001	2.38624	0.402219	0.2892	0.217793	0.0907885	0.005288501	6.454717
20	-3961.22	-3817.386	-143.8342	19.61909	0.2333203	0.00682939	0.00194009	0.00420083	0.00786109	0.00435347	0.00254209	0.00455283	0.00354156	0.0197345	0.0513632	0.00245329	0.0352915	0.0156162	0.0109792	0.0112853	0.0146199	0.0009161	0.0275383	0.0251865	0.012658	0.00570978	0.0266519	0.0121025	0.00466544	0.00185935	0.00596569	0.00327031	0.0126675	0.012804	0.00272034	0.0177392	0.0022694	0.0167512	0.00101697	0.00930002	0.0162749	0.00525563	0.00336928	0.00108983	0.00241418	0.00276345	0.00202949	0.008281745	-0.02310662	0.0300652	0.218118	0.00860801	0.0203633	0.653049	0.0697965	41.06499	0.04034694	1	44.3881	0.1669077	0.00142337	0.0549373	0.464966	3.47867	0.302399	0.297438	0.145884	0.254278	0.01724033	2.340266
30	-3862.723	-3760.424	-102.2986	17.63506	0.1939637	0.00672677	0.00635848	0.00900777	0.024385	0.00618433	0.00321903	0.00568567	0.00370372	0.0212052	0.0133806	0.00251661	0.00347447	0.0160502	0.0199746	0.0132637	0.0198084	0.000854645	0.0130403	0.0050365	0.0111442	0.013897	0.0339237	0.00928662	0.00288405	0.00805977	0.00773475	0.025223	0.025446	0.00489865	0.00229818	0.00691227	0.00852143	0.00490131	0.00197484	0.014076	0.00841668	0.00215572	0.00226059	0.00234597	0.0020449	0.00264368	0.00172124	0.008168924	-0.01515495	0.0190745	0.296877	0.0058578	0.00638344	0.621065	0.0507426	30.95091	0.060445	3	41.81068	0.2041372	0.000428479	0.0303673	0.367721	3.60148	0.299844	0.289861	0.158166	0.252129	0.04529005	1.33462
40	-3841.345	-3737.098	-104.2468	17.63506	0.2016867	0.0116642	0.00572874	0.009814	0.0189639	0.0080036	0.00216867	0.00678828	0.00863115	0.0318689	0.00673714	0.00159829	0.00560673	0.0100101	0.0209945	0.0141914	0.0155088	0.000667515	0.00916073	0.00351048	0.0186067	0.0214688	0.0492095	0.00769328	0.00357569	0.00580001	0.00409	0.0170218	0.0246839	0.0043914	0.00117571	0.00775836	0.00465366	0.0053033	0.00165076	0.0180317	0.00724685	0.00178358	0.000765264	0.00450338	0.00161243	0.00350423	0.001285	0.007645707	-0.01515495	0.0170233	0.502496	0.00176259	0.00305391	0.458142	0.017522	30.95091	0.060445	3	41.81068	0.2041372	0.000562774	0.0347542	0.388046	3.57664	0.297305	0.295875	0.156826	0.249994	0.04529005	1.33462
50	-3844.206	-3726.434	-117.7713	17.63506	0.1953175	0.00843948	0.00621063	0.017465	0.0232255	0.00764948	0.00164145	0.0212902	0.012668	0.0482037	0.00706219	0.00202146	0.00709971	0.0116808	0.0300273	0.0182203	0.018449	0.0013122	0.00552991	0.00727771	0.0209708	0.0199016	0.0583847	0.00664805	0.00669836	0.00822902	0.00501001	0.0354035	0.0271409	0.00302305	0.00208381	0.0157176	0.0159885	0.00798322	0.00288547	0.0379011	0.00635385	0.00327373	0.00100553	0.00285603	0.00352665	0.00586013	0.00150876	0.009902558	-0.01515495	0.016291	0.489109	0.00134784	0.00252135	0.474274	0.0164566	30.95091	0.060445	3	41.81068	0.2041372	0.000450157	0.0311186	0.371327	3.5971	0.310018	0.308527	0.120772	0.260684	0.04529005	1.33462
60	-3838.669	-3726.984	-111.6851	10.24041	0.206481	0.00912677	0.0103603	0.0142798	0.0112236	0.00773607	0.00132979	0.0087481	0.0104125	0.0747099	0.0107732	0.00453444	0.00822953	0.00853097	0.0361137	0.0121185	0.0171158	0.00156881	0.00577576	0.00599554	0.0211483	0.00948628	0.0475721	0.00673538	0.0163017	0.0025947	0.00432259	0.0332915	0.039791	0.0024165	0.00189284	0.00480291	0.022184	0.0165041	0.0023127	0.0121855	0.0100608	0.000216349	0.0188105	0.00228529	0.0034416	0.0232454	0.000291223	0.01452971	-0.02266351	0.0168854	0.503008	0.000956155	0.00126398	0.467658	0.010228	26.87508	0.07520209	3	42.51019	0.2334371	0.000659736	0.0375961	0.40036	3.56138	0.304814	0.298762	0.125511	0.270913	0.05253858	1.431369
70	-3832.551	-3713.864	-118.6871	10.71412	0.1768383	0.00735084	0.0671289	0.04561	0.0178383	0.00814833	0.00138684	0.00978003	0.0207027	0.0837526	0.0171815	0.00601379	0.00687521	0.0218195	0.090526	0.0238972	0.0368902	0.00274981	0.00140737	0.0207275	0.0097842	0.00754968	0.0823594	0.00492235	0.001059	0.0020818	0.00224518	0.0282758	0.0254542	0.0163739	0.0016969	0.00214103	0.0463681	0.0120575	0.00715747	0.00648479	0.00965874	0.000148676	0.00723509	0.00418916	0.0167051	0.0193264	0.000751674	0.02611993	0.04189147	0.0125416	0.509242	0.00264257	0.00183249	0.461104	0.0126375	35.75037	0.08452973	4	43.10018	0.2420848	0.000214966	0.0215721	0.320579	3.65763	0.310283	0.299802	0.125948	0.263968	0.1264212	0.6686357
80	-3826.366	-3717.858	-108.5075	6.695469	0.1758259	0.0398781	0.0232128	0.0174972	0.0198907	0.0153824	0.00376067	0.00859652	0.00737409	0.0622878	0.0135637	0.00743821	0.00658449	0.0160457	0.0120228	0.0133185	0.0268459	0.00253017	0.000855335	0.0123593	0.00706666	0.00932597	0.0499767	0.00691827	0.000938672	0.00437613	0.00156721	0.0122174	0.012342	0.0282344	0.0117584	0.00539121	0.055731	0.005875	0.0377231	0.00187284	0.0154362	0.000109962	0.0259744	0.0262888	0.000735123	0.00926793	0.00183898	0.01233808	0.01284009	0.0124062	0.565512	0.00234502	0.00140141	0.406017	0.0123183	35.00434	0.08332065	2	41.18872	0.2293532	0.000205508	0.0210956	0.317707	3.66099	0.291367	0.315404	0.116554	0.276674	0.09616074	0.8664726
90	-3806.612	-3718.119	-88.49375	7.34768	0.1459586	0.00879026	0.0161027	0.0163641	0.0110657	0.0090649	0.000284627	0.013645	0.0111551	0.0443961	0.0163074	0.00473122	0.00350063	0.0207577	0.0116346	0.00695866	0.0257403	0.00407407	0.00675937	0.0082472	0.00612982	0.00419364	0.035461	0.0191798	0.00181763	0.0334069	0.00232788	0.015626	0.0114408	0.0262661	0.00654466	0.00511408	0.0277624	0.00812051	0.00901374	0.00190504	0.0218278	0.00219024	0.0114929	0.0212879	0.00241739	0.00844965	0.00783131	0.01084281	-0.009723285	0.0135356	0.518002	0.00380371	0.00229471	0.452052	0.0103114	36.03128	0.1059695	4	40.61364	0.2920506	4.11194e-05	0.00947821	0.229604	3.76088	0.293875	0.311619	0.115449	0.279056	0.09624624	1.101025
