Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6417.412	-6402.257	-15.1555	0.9281255	1	0.2984866	0.053871	0.326082	0.0623369	0.338844	0.128423	0.0410388	0.103275	0.008316833	0.136954	0.476752	1	2.38629	0.417065	0.127125	0.383356	0.0724546	0.06218783	0.1337373
1	1	-6712.985	-6699.717	-13.26848	0.8607986	1	0.01847325	-0.04868209	0.233941	0.126641	0.233213	0.0992702	0.304857	0.00207823	0.1021145	0.136954	0.476752	1	2.38629	0.411214	0.319292	0.260686	0.00880716	0.05343242	1.911096
2	0	-4701.6	-4686.35	-15.25079	0.4951246	0.3449439	0.1415432	0.2380249	0.277899	0.244348	0.177179	0.150275	0.056637	0.0936616	0.007135469	0.00963747	0.139619	0.664109	3.18663	0.175776	0.368393	0.290264	0.165567	0.2451603	0.02910532
3	1	-4650.235	-4635.755	-14.47977	0.7492432	0.3858419	0.07205728	0.08594693	0.21258	0.131572	0.156116	0.0608109	0.437607	0.00131357	0.06355644	0.014726	0.171103	0.715494	3.09868	0.196178	0.470217	0.2886	0.0450041	0.1495034	0.4251171
4	0	-4221.024	-4207.3	-13.72462	0.4936539	0.2878962	0.1304819	0.0756374	0.145644	0.380265	0.0733629	0.205737	0.105451	0.0895391	0.01507571	0.00436495	0.0951186	0.574905	3.32561	0.248061	0.313176	0.164401	0.274361	0.09071311	0.1661911
5	1	-3907.156	-3892.087	-15.06902	0.6109307	0.2089676	0.1165443	-0.003105064	0.0465566	0.141049	0.0528376	0.0283499	0.730604	0.000602921	0.1241718	0.000714373	0.0391038	0.406654	3.55353	0.287233	0.216502	0.206573	0.289691	0.1210667	1.025648
6	0	-4031.163	-4017.821	-13.34281	0.5462592	0.2469131	0.1206137	0.04139638	0.101411	0.602486	0.0502818	0.0876673	0.10985	0.0483037	0.01623076	0.001971	0.0644699	0.49493	3.43863	0.231793	0.281113	0.1155	0.371594	0.05762714	0.2816513
7	1	-3763.175	-3747.719	-15.45593	0.407269	0.2113421	0.1850814	-0.09011017	0.0241123	0.388848	0.0161243	0.0190838	0.5515	0.000331368	0.1661534	0.000769417	0.0405643	0.412606	3.54606	0.298232	0.259915	0.186737	0.255117	0.0760432	2.184987
8	0	-3951.919	-3938.24	-13.67828	0.4817834	0.2731894	0.1358479	0.006177889	0.0713556	0.678363	0.0286844	0.0712572	0.114589	0.0357515	0.04365615	0.00337292	0.0838759	0.547907	3.36484	0.233569	0.305645	0.109782	0.351004	0.04983404	0.8760307
9	1	-3741.391	-3725.803	-15.58767	0.2980797	0.1957886	0.2156579	0.1217499	0.0146103	0.542348	0.00847607	0.011224	0.423078	0.000263902	0.05766808	0.00045788	0.0313818	0.372577	3.59558	0.297408	0.283276	0.136066	0.28325	0.179418	0.3214175
10	0	-3873.626	-3858.407	-15.21948	0.4516242	0.2779827	0.1354997	-0.03060865	0.0630481	0.672642	0.0224695	0.0432287	0.168351	0.0302607	0.1412442	0.00367963	0.0875175	0.556907	3.3519	0.228008	0.319077	0.106957	0.345958	0.1106356	1.276662
11	1	-3741.595	-3725.772	-15.8231	0.3292766	0.2050562	0.2280182	-0.08362819	0.00820695	0.557398	0.0119452	0.0151474	0.407021	0.000281078	0.1605507	0.000629785	0.0367424	0.396725	3.5659	0.289322	0.315095	0.135335	0.260249	0.07692246	2.087175
12	0	-3774.166	-3754.669	-19.49674	0.4738224	0.2214577	0.1532146	0.1663068	0.0254888	0.51801	0.0207383	0.0395653	0.388869	0.00732891	0.2513117	0.00103687	0.0469987	0.437315	3.51465	0.285357	0.291296	0.13317	0.290177	0.4176185	0.6017733
13	1	-3742.104	-3727.296	-14.80803	0.3359433	0.1614223	0.2315565	-0.03135289	0.0100768	0.549317	0.0122752	0.00956461	0.417583	0.00118265	0.07789963	0.000101905	0.0148885	0.275946	3.70906	0.289001	0.300806	0.12427	0.285923	0.04654674	1.673579
14	0	-3746.842	-3728.988	-17.85387	0.2910979	0.2147908	0.2511264	-0.002060124	0.0172737	0.580851	0.00956516	0.0252039	0.360671	0.00643527	0.2320712	0.000854494	0.0427202	0.421148	3.53528	0.288817	0.302087	0.115401	0.293695	0.2300111	1.008957
15	1	-3740.104	-3725.176	-14.92831	0.3336697	0.2252505	0.2176742	-0.09810756	0.00788316	0.59922	0.0145448	0.01249	0.365227	0.000635195	0.1255445	0.00115159	0.0494938	0.44631	3.50304	0.293378	0.310053	0.131083	0.265486	0.02743693	4.575749
16	0	-3747.035	-3730.557	-16.47746	0.2911683	0.2242734	0.2674106	-0.06157369	0.0141042	0.518285	0.00990758	0.0289289	0.425872	0.00290216	0.1717364	0.00112126	0.0488469	0.444007	3.50602	0.303158	0.3241	0.112866	0.259877	0.1101627	1.558934
17	1	-3744.938	-3729.94	-14.99735	0.3131208	0.2191171	0.2842653	-0.03074104	0.013612	0.569835	0.0138315	0.0140164	0.388205	0.000500452	0.05916939	0.000970092	0.0454805	0.431691	3.52186	0.293742	0.321039	0.11737	0.267849	0.02842835	2.081351
18	0	-3735.467	-3720.336	-15.13089	0.2800613	0.2207087	0.2549482	-0.06224843	0.00978328	0.567578	0.00860897	0.00664976	0.404834	0.00254614	0.1011011	0.00101517	0.046511	0.435521	3.51695	0.29712	0.306917	0.126387	0.269575	0.03885263	2.602168
19	1	-3741.085	-3726.278	-14.80734	0.3223689	0.2309629	0.2303045	-0.05435351	0.0116451	0.521342	0.0131784	0.0094242	0.444154	0.000256477	0.08882468	0.00133999	0.053329	0.459584	3.48575	0.292058	0.309619	0.132009	0.266313	0.03447117	2.576782
20	0	-3736.273	-3719.648	-16.62479	0.2173918	0.1806396	0.3254785	-0.1873588	0.00892497	0.600085	0.0115223	0.0103301	0.366264	0.0028733	0.2179932	0.000253384	0.0234059	0.331279	3.64506	0.301182	0.297443	0.128115	0.273261	0.03063441	7.11596
21	1	-3738.638	-3724.297	-14.34102	0.3111093	0.2411956	0.2192594	-0.0371524	0.0113943	0.501751	0.017489	0.0146623	0.454406	0.00029746	0.06226138	0.00172651	0.0604094	0.482547	3.45532	0.29358	0.306242	0.137361	0.262817	0.02510897	2.479646
22	0	-3734.212	-3717.689	-16.52294	0.2245096	0.1862769	0.3405544	-0.1827658	0.012967	0.512854	0.00850448	0.00404511	0.459578	0.00205083	0.1987965	0.000319375	0.0262526	0.346905	3.62652	0.289533	0.307585	0.140191	0.262691	0.01603073	12.40097
23	1	-3737.846	-3723.348	-14.49795	0.3086617	0.2279409	0.2371321	0.01859561	0.0153549	0.559893	0.0113029	0.010997	0.400397	0.00205476	0.03279478	0.00123795	0.0512889	0.452603	3.49487	0.278407	0.306632	0.140169	0.274791	0.05139039	0.63815
24	0	-3738.666	-3722.024	-16.64196	0.2124326	0.2111694	0.3203469	-0.2248863	0.0114262	0.499702	0.00857788	0.00371208	0.475173	0.001409	0.2408067	0.000765317	0.0404574	0.412175	3.5466	0.302155	0.299394	0.129848	0.268603	0.01592041	15.12566
25	1	-3738.043	-3723.712	-14.33015	0.3016597	0.1909062	0.2102747	0.06506518	0.0137368	0.505436	0.00595677	0.0075171	0.464584	0.00276892	0.01540416	0.000382295	0.0286995	0.35951	3.61141	0.301823	0.303193	0.123275	0.271709	0.08046934	0.1914289
26	0	-3740.619	-3724.234	-16.38547	0.2072335	0.2143136	0.3735447	-0.1315814	0.00906429	0.508654	0.0125435	0.00525979	0.461651	0.00282691	0.1448306	0.000842353	0.0424195	0.419973	3.53677	0.304396	0.295422	0.129587	0.270595	0.01324914	10.93132
27	1	-3739.682	-3725.366	-14.31602	0.3220949	0.1945359	0.2142441	0.0407799	0.0171336	0.494016	0.00442403	0.00830245	0.47365	0.00247426	0.02437646	0.000437547	0.0306839	0.369247	3.59963	0.30243	0.305649	0.127445	0.264476	0.06515636	0.3741225
28	0	-3736.487	-3721.024	-15.4629	0.2085562	0.2135177	0.3220114	-0.07391322	0.00625491	0.48819	0.0157813	0.00906297	0.476968	0.00374254	0.09028963	0.00082237	0.0419197	0.418009	3.53925	0.29044	0.304471	0.131176	0.273913	0.01637641	5.513397
29	1	-3743.527	-3728.371	-15.15602	0.3350705	0.2285694	0.247965	0.01375863	0.0191199	0.508651	0.00435334	0.00207741	0.464984	0.000814579	0.06785221	0.00125873	0.0517111	0.454062	3.49297	0.312722	0.302053	0.123749	0.261476	0.08161083	0.8314118
