Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6712.985	-6699.717	-13.26848	0.8607986	1	0.01847325	-0.04868209	0.233941	0.126641	0.233213	0.0992702	0.304857	0.00207823	0.1021145	0.136954	0.476752	1	2.38629	0.411214	0.319292	0.260686	0.00880716	0.05343242	1.911096
10	-4650.235	-4635.755	-14.47977	0.7492432	0.3858419	0.07205728	0.08594693	0.21258	0.131572	0.156116	0.0608109	0.437607	0.00131357	0.06355644	0.014726	0.171103	0.715494	3.09868	0.196178	0.470217	0.2886	0.0450041	0.1495034	0.4251171
20	-3907.156	-3892.087	-15.06902	0.6109307	0.2089676	0.1165443	-0.003105064	0.0465566	0.141049	0.0528376	0.0283499	0.730604	0.000602921	0.1241718	0.000714373	0.0391038	0.406654	3.55353	0.287233	0.216502	0.206573	0.289691	0.1210667	1.025648
30	-3763.175	-3747.719	-15.45593	0.407269	0.2113421	0.1850814	-0.09011017	0.0241123	0.388848	0.0161243	0.0190838	0.5515	0.000331368	0.1661534	0.000769417	0.0405643	0.412606	3.54606	0.298232	0.259915	0.186737	0.255117	0.0760432	2.184987
40	-3741.391	-3725.803	-15.58767	0.2980797	0.1957886	0.2156579	0.1217499	0.0146103	0.542348	0.00847607	0.011224	0.423078	0.000263902	0.05766808	0.00045788	0.0313818	0.372577	3.59558	0.297408	0.283276	0.136066	0.28325	0.179418	0.3214175
50	-3741.595	-3725.772	-15.8231	0.3292766	0.2050562	0.2280182	-0.08362819	0.00820695	0.557398	0.0119452	0.0151474	0.407021	0.000281078	0.1605507	0.000629785	0.0367424	0.396725	3.5659	0.289322	0.315095	0.135335	0.260249	0.07692246	2.087175
60	-3742.104	-3727.296	-14.80803	0.3359433	0.1614223	0.2315565	-0.03135289	0.0100768	0.549317	0.0122752	0.00956461	0.417583	0.00118265	0.07789963	0.000101905	0.0148885	0.275946	3.70906	0.289001	0.300806	0.12427	0.285923	0.04654674	1.673579
70	-3740.104	-3725.176	-14.92831	0.3336697	0.2252505	0.2176742	-0.09810756	0.00788316	0.59922	0.0145448	0.01249	0.365227	0.000635195	0.1255445	0.00115159	0.0494938	0.44631	3.50304	0.293378	0.310053	0.131083	0.265486	0.02743693	4.575749
80	-3744.938	-3729.94	-14.99735	0.3131208	0.2191171	0.2842653	-0.03074104	0.013612	0.569835	0.0138315	0.0140164	0.388205	0.000500452	0.05916939	0.000970092	0.0454805	0.431691	3.52186	0.293742	0.321039	0.11737	0.267849	0.02842835	2.081351
90	-3741.085	-3726.278	-14.80734	0.3223689	0.2309629	0.2303045	-0.05435351	0.0116451	0.521342	0.0131784	0.0094242	0.444154	0.000256477	0.08882468	0.00133999	0.053329	0.459584	3.48575	0.292058	0.309619	0.132009	0.266313	0.03447117	2.576782
