Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-30.02861	0	-30.02861	16.88612	1	0.260515	0.0955215	0.054489	0.231869	0.036378	0.812404	0.0540845	0.146875	0.0264009	0.0875433	0.0822332	0.0624465	0.29072	0.0189575	0.253414	0.238842	0.0133628	0.119585	0.1695581	-0.09607664	0.107403	0.0410339	0.0382269	0.293436	0.0502501	0.46965	36.48217	0.124828	-1.77456	0.136954	0.476752	1	2.38629	0.178049	0.132678	0.358363	0.330911	0.02875135	4.341639
1	1	13.26357	0	13.26357	7.275812	1	0.00175913	0.0443824	0.023431	0.00433943	0.00743693	0.0328353	0.0612832	0.0322883	0.0126907	0.0154748	0.00181053	0.0723905	0.0424922	0.0628875	0.0128411	0.0189669	0.0434856	0.0381762	0.02564034	0.04306675	0.157411	0.0375235	0.213828	0.350838	0.160236	0.0801638	7.276965	0.007815466	-3.663588	0.136954	0.476752	1	2.38629	0.584552	0.0732172	0.199962	0.142269	0.05088221	0.1535992
2	0	-47.13757	0	-47.13757	23.42399	1.351726	0.692863	0.46501	0.0840634	0.271944	0.0110353	0.260533	0.0803214	0.562385	0.0651232	0.0963628	0.480692	0.0553489	1.28889	0.0331328	0.272523	0.619088	0.446264	0.0611951	0.2358282	-0.1128226	0.172081	0.0919032	0.0480022	0.385393	0.041998	0.260622	33.93292	0.1390117	-1.444652	0.201482	0.561859	1.04038	2.19628	0.0755628	0.18671	0.651185	0.0865417	0.02618913	5.307992
3	1	-0.2936546	0	-0.2936546	11.89128	0.5272445	0.00138768	0.0197629	0.0418572	0.0171403	0.0219601	0.0927035	0.0913809	0.036387	0.0547795	0.0683303	0.0127444	0.0548224	0.0387414	0.118102	0.0134123	0.0122503	0.0788799	0.00837977	0.03599811	0.1036936	0.207766	0.0582486	0.192094	0.278258	0.142603	0.12103	14.00967	0.008776334	-3.324289	0.0385418	0.26933	0.839123	2.85301	0.456158	0.151566	0.184527	0.207749	0.11247	0.0780327
4	0	-49.32003	0	-49.32003	4.484761	1.649085	0.339015	0.829522	0.0825379	1.63546	0.158795	0.154269	0.377091	1.63993	0.0673511	0.0621577	0.372103	1.35468	0.591773	1.14287	0.0134144	0.0890136	0.767909	0.0282162	0.4984321	-0.0823547	0.0592377	0.196521	0.0171833	0.605656	0.00705118	0.114351	29.26245	0.2043902	-0.6962879	0.247462	0.611627	1.0581	2.08281	0.459882	0.0619175	0.362719	0.115481	0.1220355	1.674842
5	1	-7.200064	0	-7.200064	27.70821	0.3108433	0.00563875	0.0153595	0.0126666	0.00387836	0.0498085	0.0849529	0.10821	0.0603692	0.0106902	0.120715	0.117408	0.0174063	0.00506921	0.0132847	0.0103965	0.0363342	0.0679535	0.0509081	0.03907731	0.03532028	0.464865	0.0571111	0.230634	0.0639186	0.0912899	0.0921806	40.4193	0.01923821	-3.242213	0.00621604	0.112953	0.613571	3.26726	0.473895	0.194044	0.228129	0.103931	0.05455849	0.3526163
6	0	-37.11361	0	-37.11361	8.331795	0.9746506	0.921255	0.395861	0.073368	1.13928	0.489298	0.128414	0.0370883	0.246724	0.0762153	0.0558057	0.205862	0.0973956	0.269174	0.173817	0.0312026	0.359497	0.641477	0.00253382	0.2717825	-0.06211182	0.122442	0.240006	0.0373592	0.479217	0.0198096	0.101165	18.90726	0.1303222	-1.302753	0.131869	0.468998	0.995669	2.40346	0.621584	0.0485198	0.202304	0.127593	0.06821042	1.910591
7	1	0.1228973	0	0.1228973	34.06408	0.521585	0.0410222	0.0104566	0.0207659	0.0542948	0.0168553	0.0343733	0.0681991	0.0352196	0.0172093	0.0291744	0.0137343	0.02155	0.00263716	0.0283945	0.0648333	0.0273209	0.0141415	0.0284603	0.02322428	-0.008110667	0.111386	0.142153	0.180849	0.242744	0.163387	0.159482	39.34395	0.02955888	-3.762557	0.0374548	0.265774	0.83536	2.86141	0.223219	0.21606	0.304424	0.256297	0.02144822	1.378151
8	0	-31.56428	0	-31.56428	17.92325	0.530516	0.316552	0.303989	0.300053	0.337331	0.247168	0.180347	0.0105394	0.0259229	0.960432	0.0765834	0.0451906	0.0874713	0.0714478	0.24545	0.104812	0.198771	0.310891	0.0727294	0.249437	-0.02798676	0.35558	0.125521	0.00882183	0.3927	0.0111948	0.106183	24.61979	0.1254746	-1.388549	0.0391737	0.271371	0.841262	2.84819	0.345367	0.134218	0.170291	0.350123	0.09748782	1.28708
9	1	11.0253	0	11.0253	41.67655	0.8495093	0.00440631	0.00224919	0.013432	0.00667798	0.00234177	0.0149987	0.0101388	0.00812079	0.0111163	0.00947526	0.00615456	0.0420398	0.000874872	0.0208622	0.0182322	0.0326743	0.0271849	0.00961639	0.01305001	-0.05823113	0.156253	0.119365	0.143039	0.263561	0.199573	0.118209	42.9631	0.07214019	-4.338966	0.106042	0.426329	0.969783	2.49785	0.134191	0.34455	0.316358	0.204901	0.01390906	5.18656
10	0	-27.23057	0	-27.23057	4.403578	0.7718741	0.274435	0.0362594	0.653071	0.0758241	0.157272	0.11603	0.00839851	0.0295398	0.612256	0.121548	0.179585	0.159499	0.168769	0.52939	0.188673	0.139339	0.320824	0.109222	0.2094645	-0.09507201	0.146188	0.132901	0.0212086	0.538108	0.0295226	0.132072	9.430884	0.1512881	-1.563201	0.0895614	0.395559	0.948846	2.56603	0.566993	0.123936	0.209787	0.0992848	0.0562161	2.691188
11	1	12.06644	0	12.06644	21.0146	1.01297	0.00676587	0.0106014	0.0507466	0.0184767	0.00227133	0.0308195	0.00997888	0.0215187	0.0130072	0.00326127	0.00609628	0.0267277	0.0276709	0.00790014	0.00104614	0.0195845	0.0163159	0.0138018	0.02203979	-0.03203532	0.176793	0.130187	0.142684	0.184789	0.217698	0.147849	29.78638	0.05999229	-3.814906	0.139534	0.480616	1.00212	2.37773	0.188178	0.23154	0.361423	0.218859	0.02795697	2.14588
12	0	-10.387	0	-10.387	3.631917	1.506527	0.0459564	0.0151643	0.164695	0.0284888	0.133423	0.0539422	0.0215969	0.0083935	0.0213614	0.102886	0.290748	0.1539	0.10212	0.224921	0.023024	0.176381	0.0569622	0.066278	0.08485089	-0.4083833	0.133433	0.102001	0.0637406	0.43791	0.0590852	0.20383	25.52583	0.5074754	-2.46686	0.226329	0.589639	1.0508	2.13323	0.392345	0.236018	0.179676	0.191961	0.09909212	5.121249
13	1	19.96207	0	19.96207	22.09908	0.6785608	0.00598101	0.0319598	0.0668251	0.0132002	0.00115409	0.0102605	0.00262407	0.00598853	0.0126435	0.00180957	0.00446233	0.00316039	0.000279071	0.00470162	0.000699182	0.00679524	0.00775592	0.00903817	0.01689158	-0.0403325	0.277863	0.177306	0.128955	0.172083	0.0714865	0.172307	25.04877	0.05993575	-4.08094	0.069616	0.353236	0.916657	2.66049	0.217514	0.190085	0.544211	0.0481896	0.01960325	3.057439
