Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-30.02861	0	-30.02861	16.88612	1	0.260515	0.0955215	0.054489	0.231869	0.036378	0.812404	0.0540845	0.146875	0.0264009	0.0875433	0.0822332	0.0624465	0.29072	0.0189575	0.253414	0.238842	0.0133628	0.119585	0.1695581	-0.09607664	0.107403	0.0410339	0.0382269	0.293436	0.0502501	0.46965	36.48217	0.124828	-1.77456	0.136954	0.476752	1	2.38629	0.178049	0.132678	0.358363	0.330911	0.02875135	4.341639
10	-47.13757	0	-47.13757	23.42399	1.351726	0.692863	0.46501	0.0840634	0.271944	0.0110353	0.260533	0.0803214	0.562385	0.0651232	0.0963628	0.480692	0.0553489	1.28889	0.0331328	0.272523	0.619088	0.446264	0.0611951	0.2358282	-0.1128226	0.172081	0.0919032	0.0480022	0.385393	0.041998	0.260622	33.93292	0.1390117	-1.444652	0.201482	0.561859	1.04038	2.19628	0.0755628	0.18671	0.651185	0.0865417	0.02618913	5.307992
20	-49.32003	0	-49.32003	4.484761	1.649085	0.339015	0.829522	0.0825379	1.63546	0.158795	0.154269	0.377091	1.63993	0.0673511	0.0621577	0.372103	1.35468	0.591773	1.14287	0.0134144	0.0890136	0.767909	0.0282162	0.4984321	-0.0823547	0.0592377	0.196521	0.0171833	0.605656	0.00705118	0.114351	29.26245	0.2043902	-0.6962879	0.247462	0.611627	1.0581	2.08281	0.459882	0.0619175	0.362719	0.115481	0.1220355	1.674842
30	-37.11361	0	-37.11361	8.331795	0.9746506	0.921255	0.395861	0.073368	1.13928	0.489298	0.128414	0.0370883	0.246724	0.0762153	0.0558057	0.205862	0.0973956	0.269174	0.173817	0.0312026	0.359497	0.641477	0.00253382	0.2717825	-0.06211182	0.122442	0.240006	0.0373592	0.479217	0.0198096	0.101165	18.90726	0.1303222	-1.302753	0.131869	0.468998	0.995669	2.40346	0.621584	0.0485198	0.202304	0.127593	0.06821042	1.910591
40	-31.56428	0	-31.56428	17.92325	0.530516	0.316552	0.303989	0.300053	0.337331	0.247168	0.180347	0.0105394	0.0259229	0.960432	0.0765834	0.0451906	0.0874713	0.0714478	0.24545	0.104812	0.198771	0.310891	0.0727294	0.249437	-0.02798676	0.35558	0.125521	0.00882183	0.3927	0.0111948	0.106183	24.61979	0.1254746	-1.388549	0.0391737	0.271371	0.841262	2.84819	0.345367	0.134218	0.170291	0.350123	0.09748782	1.28708
50	-27.23057	0	-27.23057	4.403578	0.7718741	0.274435	0.0362594	0.653071	0.0758241	0.157272	0.11603	0.00839851	0.0295398	0.612256	0.121548	0.179585	0.159499	0.168769	0.52939	0.188673	0.139339	0.320824	0.109222	0.2094645	-0.09507201	0.146188	0.132901	0.0212086	0.538108	0.0295226	0.132072	9.430884	0.1512881	-1.563201	0.0895614	0.395559	0.948846	2.56603	0.566993	0.123936	0.209787	0.0992848	0.0562161	2.691188
60	-10.387	0	-10.387	3.631917	1.506527	0.0459564	0.0151643	0.164695	0.0284888	0.133423	0.0539422	0.0215969	0.0083935	0.0213614	0.102886	0.290748	0.1539	0.10212	0.224921	0.023024	0.176381	0.0569622	0.066278	0.08485089	-0.4083833	0.133433	0.102001	0.0637406	0.43791	0.0590852	0.20383	25.52583	0.5074754	-2.46686	0.226329	0.589639	1.0508	2.13323	0.392345	0.236018	0.179676	0.191961	0.09909212	5.121249
70	-2.29993	0	-2.29993	3.190484	1.048167	0.0115701	0.0507511	0.0431082	0.0650172	0.0633488	0.11307	0.0315445	0.212518	0.154603	0.0446697	0.0633999	0.0395577	0.0317679	0.0186773	0.0560254	0.00916958	0.0299576	0.0383024	0.07674222	-0.3870656	0.156397	0.0986496	0.186391	0.194958	0.133907	0.229696	35.39016	0.5161095	-2.567303	0.146463	0.490766	1.00754	2.35523	0.387194	0.267613	0.149222	0.195971	0.1290439	3.999489
80	-15.92119	0	-15.92119	4.23374	3.040938	0.0388949	0.0733232	0.0399604	0.144862	0.193243	0.209343	0.0669618	0.233029	0.438418	0.0895397	0.102472	0.16912	0.0260032	0.247935	0.211688	0.0223115	0.0759132	0.0834672	0.1243216	-0.2710182	0.142724	0.0680346	0.120746	0.373458	0.165315	0.129723	17.138	0.3239988	-2.084883	0.392404	0.73377	1.08271	1.79111	0.397842	0.35461	0.117611	0.129937	0.0529806	6.115424
90	-36.49989	0	-36.49989	8.972274	4.547735	0.189145	0.981787	0.116377	0.716744	0.345557	0.509014	0.026699	0.467785	0.360445	0.127059	0.126043	0.220828	0.142026	0.365484	0.329484	0.466675	0.10571	0.114439	0.2318581	-0.5067704	0.129062	0.0538165	0.221094	0.368	0.126083	0.101944	11.67106	0.5414616	-1.46163	0.482135	0.792248	1.08399	1.64163	0.295392	0.372237	0.0629538	0.269417	0.03469121	15.60803
100	-30.44996	0	-30.44996	20.53028	1.849209	0.10883	0.203918	0.0746794	0.0851133	0.236168	0.091316	0.00716765	0.0606349	0.367239	0.0201476	0.0684257	0.752791	0.0919446	0.453311	0.133375	0.331444	0.0604867	0.0914843	0.1398371	-0.2404788	0.173384	0.309263	0.172809	0.188392	0.126791	0.0293612	44.96001	0.287378	-1.967277	0.274585	0.637957	1.06571	2.02174	0.180226	0.387163	0.023917	0.408694	0.04689912	6.127577
