Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-7776.842	-7757.048	-19.79474	2.055033	1	0.421998	0.0131184	0.305471	0.419829	0.0109717	0.0543453	0.0109028	0.102973	0.645581	0.530428	0.232674	0.690949	0.347468	0.306876	0.100271	0.0180547	0.0218997	0.257544	0.1873934	-0.04314961	0.061443	0.105466	0.290973	0.195335	0.0783002	0.268483	2.488232	0.1038828	-1.674545	0.136954	0.476752	1	2.38629	0.757581	0.0416756	0.0222693	0.178474	0.0607332	1.710478
10	-inf	-inf	1.056076	1.636892	0.2907188	0.102887	0.00905373	0.143914	0.182323	0.0018544	0.0358469	0.014043	0.0929064	0.0529096	0.0967571	0.195787	0.0815191	0.0981202	0.210255	0.0285524	0.0409319	0.00799676	0.0974978	0.09499562	-0.131522	0.0573706	0.140923	0.146447	0.203102	0.22626	0.225897	2.456465	0.1758531	-2.353924	0.00457269	0.0972971	0.579882	3.31825	0.482402	0.100021	0.128672	0.288905	0.04433113	3.966808
20	-inf	-inf	-1.459565	1.595165	0.2417564	0.084484	0.0358028	0.131958	0.102086	0.00536536	0.0374101	0.0174367	0.188371	0.0469939	0.122879	0.152403	0.0572453	0.455931	0.0657192	0.025688	0.012728	0.00579715	0.0151716	0.1215999	-0.3117832	0.0174747	0.236247	0.107961	0.0646064	0.468596	0.105115	2.348246	0.3385013	-2.10702	0.00174957	0.0608046	0.483776	3.45367	0.397369	0.165208	0.21262	0.224803	0.02671803	12.66939
30	-3843.902	-3832.22	-11.68265	2.057999	0.2047284	0.104232	0.0986606	0.318365	0.231576	0.0124757	0.0498915	0.0972896	0.399454	0.028919	0.317507	0.452812	0.129864	0.122426	0.350862	0.0485689	0.0149772	0.00739096	0.0270122	0.1742216	-0.3472392	0.00855897	0.351639	0.0384756	0.0186299	0.55407	0.0286266	2.263432	0.3820295	-1.747427	0.00062303	0.0365471	0.395885	3.56694	0.318898	0.248626	0.162018	0.270458	0.03479039	10.98089
40	-3750.988	-3747.392	-3.596208	1.846648	0.2175615	0.0484689	0.205807	0.132855	0.136224	0.0234242	0.0747633	0.0966636	0.169723	0.00865961	0.10048	0.206123	0.105078	0.200823	0.208316	0.0240583	0.0253847	0.0175308	0.0798895	0.09662754	-0.08091885	0.00871028	0.473135	0.0278532	0.00864012	0.474274	0.00738719	2.517614	0.1903243	-2.336891	0.000927369	0.0444811	0.427922	3.52667	0.330591	0.259825	0.14663	0.262955	0.1094055	1.739624
50	-3747.633	-3740.345	-7.287877	2.04698	0.194418	0.40762	0.100132	0.0860074	0.308505	0.0399522	0.0695195	0.0687678	0.334344	0.0153344	0.0752105	0.182994	0.332838	0.123595	0.0467171	0.00498398	0.0447066	0.064552	0.0289902	0.1257943	0.196753	0.011722	0.402	0.0157368	0.00982613	0.551252	0.00946333	2.211113	0.04750551	-2.073107	0.000435667	0.0306185	0.368933	3.60001	0.286574	0.310999	0.13049	0.271937	0.2442585	0.1944886
60	-inf	-inf	-4.815717	1.564241	0.1860039	0.0696053	0.092504	0.0744017	0.0542958	0.0434239	0.0583853	0.107137	0.281673	0.0139254	0.158303	0.234308	0.166322	0.0817154	0.421586	0.0115035	0.024284	0.0225252	0.0174642	0.1295599	0.2110654	0.00823093	0.555974	0.0165718	0.00390283	0.409322	0.00599871	2.257845	0.07393168	-2.043612	0.000315918	0.0261114	0.346155	3.62742	0.281541	0.314278	0.129377	0.274804	0.2849971	0.2594121
70	-inf	-inf	-2.469785	1.316359	0.190938	0.0505173	0.0798107	0.0633066	0.0570718	0.0574329	0.0662472	0.0931324	0.318231	0.0157766	0.163356	0.115938	0.263226	0.0434516	0.0134888	0.0771025	0.0910205	0.0174806	0.044825	0.1015329	0.3672145	0.00684095	0.543103	0.0168874	0.00415083	0.418534	0.0104842	2.257845	0.04154121	-2.287372	0.000382755	0.0287166	0.359596	3.6113	0.310621	0.313071	0.118116	0.258192	0.4087557	0.1016285
80	-3729.576	-3728.312	-1.264079	2.179035	0.2047682	0.0498885	0.111323	0.0837014	0.0408158	0.0748401	0.0386761	0.0459016	0.29989	0.014315	0.140141	0.127669	0.331747	0.0322834	0.0796588	0.0461677	0.00528947	0.0328031	0.0548754	0.06837097	0.04222081	0.0118363	0.460844	0.015487	0.00273138	0.494801	0.0143009	2.542301	0.1153948	-2.682807	0.000623849	0.0365708	0.395988	3.56682	0.299677	0.294292	0.155079	0.250952	0.1576156	0.732128
90	-inf	-inf	-4.783752	1.199755	0.1970012	0.0415899	0.190513	0.183113	0.0336374	0.134794	0.10648	0.0830576	0.192668	0.0096136	0.168369	0.302945	0.0869887	0.0440783	0.0306892	0.0291439	0.018007	0.0039415	0.0286244	0.1534254	0.1687292	0.0105858	0.477776	0.0192335	0.00131162	0.477559	0.0135349	2.518978	0.09892543	-1.874541	0.0004782	0.0320636	0.375786	3.59167	0.302828	0.304388	0.135243	0.257541	0.2676546	0.3696011
