Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-5217.446	-5221.877	4.431178	0.6748098	1	0.160813	0.167552	0.0472386	0.242617	0.0862431	0.129759	0.177818	0.122	0.0834077	0.238825	0.0120856	0.190759	0.0377983	0.151951	0.142363	0.0096128	0.125533	0.226663	0.1201478	-0.1345788	0.323059	0.0322979	0.0986438	0.0751179	0.223724	0.247157	0.1467033	0.136954	0.476752	1	2.38629	0.19137	0.362873	0.361828	0.083929	0.0121245	12.09974
1	1	-5299.327	-5295.798	-3.529051	0.9139026	1	0.164631	0.202737	0.113586	0.133904	0.379735	0.155634	0.210718	0.058486	0.0902099	0.094546	0.374931	0.151135	0.305276	0.0274567	0.147598	0.182382	0.108786	0.260729	0.2090092	0.258376	0.123222	0.00183655	0.33401	0.154483	0.303719	0.0827292	0.0090315	0.136954	0.476752	1	2.38629	0.358328	0.361351	0.13835	0.141971	0.2674075	0.0337743
2	0	-4253.514	-4260.227	6.71297	0.6172587	0.362112	0.320997	0.0552286	0.0687898	0.218377	0.089217	0.0941127	0.054176	0.0763553	0.107952	0.109311	0.00543994	0.0977422	0.109755	0.143543	0.0924118	0.0556313	0.103273	0.293105	0.1146122	-0.1288305	0.299821	0.0607158	0.0535886	0.0699667	0.406959	0.108949	0.1360606	0.0116493	0.152942	0.686797	3.14861	0.199838	0.290999	0.20747	0.301693	0.007230138	18.81854
3	1	-4575.098	-4566.461	-8.63674	0.6193376	0.3748996	0.264094	0.16068	0.143239	0.227285	0.301915	0.163617	0.250078	0.195702	0.0611825	0.0834436	0.634564	0.321317	0.182036	0.258183	0.0500959	0.216506	0.109081	0.469952	0.2153915	0.3367843	0.0999613	0.00205861	0.194048	0.147815	0.43892	0.117197	0.009660223	0.0132661	0.162772	0.702625	3.12134	0.219422	0.321224	0.226335	0.233019	0.3464445	0.0278839
4	0	-3952.542	-3952.873	0.3311864	0.8426609	0.3069435	0.402742	0.0552384	0.132923	0.23662	0.0880843	0.0658642	0.0287923	0.0516612	0.118078	0.100749	0.00614416	0.0487903	0.0308023	0.031824	0.188328	0.0569501	0.024361	0.988596	0.1656495	-0.2067963	0.134142	0.106369	0.0232466	0.0329106	0.661782	0.0415499	0.2344313	0.00587544	0.109906	0.607281	3.27694	0.26909	0.252117	0.205932	0.272862	0.02763503	8.483122
5	1	-4445.174	-4419.198	-25.97611	0.5601985	0.1788069	0.870154	0.57231	0.411024	0.616394	0.921314	0.499083	0.593424	0.824017	0.520959	0.239529	1.20939	0.709599	0.345468	0.409272	0.0787734	0.167665	0.216806	0.932701	0.5208349	0.1552717	0.0477412	0.00113146	0.0996123	0.0498983	0.587307	0.21431	0.006104509	0.000234278	0.0225129	0.326137	3.65112	0.362097	0.238547	0.19075	0.208606	0.1613762	0.03782781
6	0	-3913.738	-3915.547	1.809372	0.6102444	0.2396316	0.35811	0.0484933	0.113166	0.371085	0.226214	0.207138	0.0593648	0.131847	0.0866137	0.085637	0.0305485	0.134302	0.00888155	0.11334	0.0834282	0.104215	0.0108886	0.422367	0.1156916	-0.1582134	0.11053	0.104513	0.0117192	0.0291796	0.7201	0.0239575	0.1792046	0.00166325	0.0593111	0.479104	3.45992	0.27099	0.253897	0.198693	0.27642	0.02099119	8.537132
7	1	-4397.435	-4379.276	-18.15911	0.6096253	0.1943972	0.984112	0.424311	0.368982	0.556495	0.188388	0.117911	0.487668	0.49367	0.448152	0.211085	0.496001	0.231609	0.454537	0.270205	0.13208	0.0605969	0.458866	1.04944	0.4167531	0.03826761	0.0320622	0.00151448	0.0868731	0.0156462	0.661634	0.20227	0.005310151	0.000435336	0.030607	0.368877	3.60008	0.304666	0.270518	0.187346	0.23747	0.04357776	0.1218546
8	0	-3799.734	-3800.65	0.9158385	0.561451	0.2413414	0.263383	0.0441877	0.085286	0.167398	0.093204	0.156041	0.233743	0.214385	0.302603	0.216214	0.0535229	0.0832115	0.0525798	0.318762	0.152156	0.0786714	0.0134744	0.340447	0.1613539	-0.07430758	0.0724038	0.209211	0.00398275	0.0198481	0.684679	0.00987531	0.09476104	0.00173249	0.0605121	0.482867	3.45489	0.264647	0.261254	0.214563	0.259536	0.02045346	4.633008
9	1	-4383.73	-4360.824	-22.90532	0.6709513	0.1572855	1.39345	0.969174	0.412449	0.657283	0.174363	0.203059	0.398814	0.483588	0.698198	0.323913	0.590833	0.308043	0.391831	0.262993	0.573344	0.0550232	0.152344	1.41846	0.441004	0.009738624	0.021206	0.00165596	0.0715321	0.00885396	0.695587	0.201165	0.01255069	8.13514e-05	0.0133106	0.263675	3.72293	0.368902	0.245342	0.170386	0.21537	0.02228932	0.5630811
