Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5217.446	-5221.877	4.431178	0.6748098	1	0.160813	0.167552	0.0472386	0.242617	0.0862431	0.129759	0.177818	0.122	0.0834077	0.238825	0.0120856	0.190759	0.0377983	0.151951	0.142363	0.0096128	0.125533	0.226663	0.1201478	-0.1345788	0.323059	0.0322979	0.0986438	0.0751179	0.223724	0.247157	0.1467033	0.136954	0.476752	1	2.38629	0.19137	0.362873	0.361828	0.083929	0.0121245	12.09974
10	-4253.514	-4260.227	6.71297	0.6172587	0.362112	0.320997	0.0552286	0.0687898	0.218377	0.089217	0.0941127	0.054176	0.0763553	0.107952	0.109311	0.00543994	0.0977422	0.109755	0.143543	0.0924118	0.0556313	0.103273	0.293105	0.1146122	-0.1288305	0.299821	0.0607158	0.0535886	0.0699667	0.406959	0.108949	0.1360606	0.0116493	0.152942	0.686797	3.14861	0.199838	0.290999	0.20747	0.301693	0.007230138	18.81854
20	-3952.542	-3952.873	0.3311864	0.8426609	0.3069435	0.402742	0.0552384	0.132923	0.23662	0.0880843	0.0658642	0.0287923	0.0516612	0.118078	0.100749	0.00614416	0.0487903	0.0308023	0.031824	0.188328	0.0569501	0.024361	0.988596	0.1656495	-0.2067963	0.134142	0.106369	0.0232466	0.0329106	0.661782	0.0415499	0.2344313	0.00587544	0.109906	0.607281	3.27694	0.26909	0.252117	0.205932	0.272862	0.02763503	8.483122
30	-3913.738	-3915.547	1.809372	0.6102444	0.2396316	0.35811	0.0484933	0.113166	0.371085	0.226214	0.207138	0.0593648	0.131847	0.0866137	0.085637	0.0305485	0.134302	0.00888155	0.11334	0.0834282	0.104215	0.0108886	0.422367	0.1156916	-0.1582134	0.11053	0.104513	0.0117192	0.0291796	0.7201	0.0239575	0.1792046	0.00166325	0.0593111	0.479104	3.45992	0.27099	0.253897	0.198693	0.27642	0.02099119	8.537132
40	-3799.734	-3800.65	0.9158385	0.561451	0.2413414	0.263383	0.0441877	0.085286	0.167398	0.093204	0.156041	0.233743	0.214385	0.302603	0.216214	0.0535229	0.0832115	0.0525798	0.318762	0.152156	0.0786714	0.0134744	0.340447	0.1613539	-0.07430758	0.0724038	0.209211	0.00398275	0.0198481	0.684679	0.00987531	0.09476104	0.00173249	0.0605121	0.482867	3.45489	0.264647	0.261254	0.214563	0.259536	0.02045346	4.633008
50	-3730.253	-3727.072	-3.180936	0.6333783	0.289484	0.280114	0.0424972	0.146064	0.358038	0.184165	0.139808	0.0602364	0.0299034	0.106501	0.10662	0.278213	0.106211	0.0948533	0.19838	0.0370817	0.505926	0.0902204	0.513686	0.2098572	-0.1526082	0.0187435	0.436703	0.00537979	0.0244844	0.503375	0.0113145	0.181662	0.00448112	0.0963434	0.577712	3.32146	0.326225	0.265057	0.145404	0.263314	0.02905382	6.252605
60	-3721.721	-3716.517	-5.204581	0.5575247	0.2065285	0.357901	0.0428101	0.24742	0.506697	0.216986	0.185581	0.207634	0.0924934	0.135269	0.0835555	0.261767	0.0921981	0.0249622	0.468699	0.08498	0.186081	0.22693	0.460689	0.235741	0.03958237	0.00904303	0.427683	0.00485112	0.018879	0.536507	0.00303661	0.03098866	0.000660753	0.0376247	0.400481	3.56123	0.295563	0.302458	0.140233	0.261746	0.07057103	0.439113
70	-3726.61	-3715.523	-11.08614	0.4979686	0.1942733	0.493839	0.054328	0.347649	0.63836	0.135867	0.104806	0.42987	0.1318	0.129153	0.0929276	0.244452	0.0810102	0.39194	0.224664	0.255914	0.167142	0.538824	0.241746	0.3637238	0.002234898	0.00781704	0.592832	0.00701795	0.0190907	0.370007	0.00323458	0.0674913	0.000433368	0.0305384	0.368547	3.60048	0.318422	0.295514	0.114122	0.271942	0.0697262	0.9679475
80	-3726.647	-3714.923	-11.72444	0.4806282	0.2077591	0.393422	0.0657289	0.207515	0.293179	0.188319	0.178275	0.0535897	0.0182501	0.244836	0.225844	1.3503	0.114552	0.0785959	0.246022	0.718384	0.121797	0.288558	0.163133	0.367993	0.02493191	0.00769541	0.469116	0.00507371	0.030016	0.484464	0.00363519	0.04923413	0.000687441	0.0383682	0.403603	3.55734	0.33438	0.297061	0.121163	0.247396	0.07416604	0.6638365
90	-3719.556	-3713.931	-5.624885	0.5192389	0.2131584	0.388153	0.039077	0.155544	0.218761	0.191714	0.15691	0.377355	0.117357	0.142765	0.0848703	0.11432	0.0621801	0.24046	0.135689	0.239615	0.213478	0.532418	0.510452	0.1740929	0.08826742	0.00762949	0.469408	0.00837323	0.0290677	0.484766	0.000756369	0.02844344	0.000813456	0.0416947	0.41712	3.54037	0.303767	0.287981	0.150105	0.258146	0.1167109	0.2437086
100	-3720.374	-3712.955	-7.419487	0.6005709	0.2086815	0.586413	0.0815233	0.189112	0.284875	0.159743	0.141876	0.0367819	0.00985926	0.139825	0.157429	0.259147	0.20569	0.160432	0.125053	0.318812	0.043186	0.355022	0.306257	0.2941851	0.08130578	0.0118307	0.48791	0.00784982	0.0211691	0.470617	0.000623479	0.1031423	0.000707933	0.0389292	0.405933	3.55443	0.300386	0.28938	0.150834	0.2594	0.1844481	0.5591942
110	-3719.592	-3710.818	-8.773993	0.7845007	0.2208881	0.546954	0.0578814	0.198358	0.254077	0.133892	0.0796227	0.564919	0.250587	0.277661	0.446665	0.0659515	0.0518034	0.0470169	0.122345	0.0638844	0.187886	0.201648	0.570127	0.248055	-0.1386687	0.0183028	0.507585	0.0124858	0.0058422	0.455251	0.000532752	0.2379868	0.00102034	0.0466277	0.435951	3.5164	0.305282	0.284922	0.148511	0.261285	0.09931804	2.396209
120	-3714.357	-3712.455	-1.902475	0.7003881	0.20005	0.480138	0.0505347	0.142105	0.178248	0.102615	0.0713664	0.141469	0.160494	0.125205	0.114231	0.233524	0.056726	0.131288	0.214683	0.116724	0.112029	0.419182	0.411031	0.1894945	0.0003833412	0.00907828	0.415116	0.00983087	0.0146955	0.55037	0.0009099	0.06178002	0.000532116	0.0338043	0.383788	3.58188	0.319712	0.297881	0.137882	0.244525	0.06216336	0.9938333
130	-3717.614	-3713.032	-4.581182	0.4683414	0.2068143	0.622453	0.0347821	0.180838	0.301	0.178791	0.092555	0.260062	0.116924	0.191911	0.181657	0.0974452	0.0666006	0.177103	0.138456	0.064278	0.210993	0.508258	0.231908	0.2374762	0.1006475	0.00942398	0.503015	0.0100079	0.00661818	0.469992	0.000942448	0.01775416	0.000666883	0.0377968	0.401207	3.56033	0.290538	0.286087	0.13107	0.292305	0.1184017	0.1499486
140	-3715.585	-3708.526	-7.058896	0.6578259	0.1666548	0.587471	0.0433072	0.177727	0.30054	0.155266	0.115488	0.274822	0.254312	0.21844	0.124737	0.100092	0.062577	0.0624696	0.187641	0.362968	0.286241	0.310688	0.436375	0.2305755	0.2021881	0.0110158	0.472393	0.00786469	0.00939674	0.497906	0.00142371	0.00660893	0.000133342	0.0170173	0.291303	3.69155	0.273488	0.308451	0.135004	0.283056	0.208797	0.03165242
150	-3710.501	-3710.251	-0.2499546	0.6739887	0.1797	0.540127	0.0420901	0.160716	0.216742	0.146504	0.0875108	0.0599481	0.0390545	0.10203	0.0737809	0.18927	0.0601271	0.117771	0.276655	0.113749	0.0449798	0.303519	0.418164	0.1836879	0.07685671	0.0121464	0.521475	0.00456113	0.00710781	0.449366	0.0053428	0.01990971	0.00024345	0.022946	0.328647	3.64816	0.294984	0.295005	0.12476	0.285251	0.09676643	0.2057502
160	-3713.493	-3714.492	0.9992058	0.5758698	0.1966555	0.282752	0.0444601	0.278439	0.556213	0.133967	0.101376	0.0653766	0.03456	0.168853	0.145492	0.0414383	0.111301	0.148903	0.0750335	0.166758	0.0147321	0.160413	0.343673	0.1788755	0.02400784	0.0183676	0.536254	0.00519325	0.00841587	0.426801	0.00496858	0.02433738	0.000472342	0.0318686	0.374873	3.59279	0.302413	0.299352	0.13287	0.265364	0.04834523	0.5034082
170	-3715.38	-3710.545	-4.834843	0.4972554	0.1782554	0.477561	0.0974898	0.216933	0.483423	0.281052	0.139907	0.275141	0.163357	0.125661	0.231089	0.0157791	0.0411528	0.132664	0.231443	0.188269	0.204809	0.244084	0.1711	0.189908	0.1625739	0.0133171	0.506783	0.00662093	0.0142985	0.452088	0.00689228	0.01793812	0.000228743	0.0222474	0.324583	3.65294	0.302413	0.299352	0.13287	0.265364	0.1805121	0.09937353
