Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-4973.122	-4970.481	-2.640303	0.9274942	1	0.226537	0.435079	0.444464	0.253824	0.11949	0.173669	0.189643	0.218894	0.434162	0.0933942	0.127312	0.125044	0.396301	0.34446	0.278619	0.343805	0.131498	0.439157	0.1962901	0.04571443	0.421874	0.0352983	0.115235	0.083954	0.171327	0.172313	0.01026995	-1.628162	0.136954	0.476752	1	2.38629	0.215023	0.206126	0.271306	0.307545	0.05598438	0.1834431
1	1	-5860.02	-5879.98	19.96031	0.9121718	1	0.0921463	0.083384	0.0689233	0.0291799	0.0954088	0.154133	0.136625	0.0627587	0.0983856	0.104656	0.0371781	0.0566842	0.0613314	0.0982599	0.0815665	0.102264	0.0577962	0.0529927	0.06302352	-0.1585745	0.144041	0.337444	0.0684506	0.100125	0.273576	0.076363	0.179598	-2.764247	0.136954	0.476752	1	2.38629	0.334401	0.602209	0.056024	0.00736547	0.02102346	8.542744
2	0	-4107.804	-4117.347	9.542667	0.7294313	0.3373957	0.185811	0.282598	0.193755	0.105567	0.0930258	0.113629	0.0844782	0.0938699	0.102204	0.0325484	0.0541308	0.145886	0.276979	0.131285	0.121342	0.0956815	0.215933	0.164766	0.1203206	0.03166611	0.248828	0.0897078	0.0397559	0.046753	0.466762	0.108193	0.05346158	-2.117595	0.00881291	0.133728	0.653577	3.20388	0.208186	0.22365	0.22386	0.344304	0.08512769	0.6280164
3	1	-4519.02	-4532.263	13.24302	0.7032255	0.2588794	0.0953242	0.127742	0.128413	0.0306666	0.0576701	0.12508	0.135928	0.10555	0.0992132	0.119581	0.144993	0.144262	0.0407549	0.0752524	0.108883	0.149875	0.276216	0.0509929	0.09036707	-0.09068389	0.0574696	0.323612	0.0455916	0.0707804	0.446225	0.0563217	0.1346323	-2.403875	0.00255168	0.0731732	0.519841	3.40443	0.448362	0.288092	0.235969	0.027578	0.04394842	3.063416
4	0	-3811.617	-3820.485	8.868292	0.675739	0.3134701	0.184982	0.222389	0.260032	0.108686	0.174758	0.148111	0.0981489	0.0663608	0.0845533	0.031044	0.0614332	0.100101	0.0944116	0.182206	0.148335	0.188242	0.0841303	0.321057	0.1118229	0.002286971	0.062675	0.150058	0.00211825	0.0096333	0.73924	0.0362751	0.03872951	-2.190839	0.00645142	0.115006	0.617746	3.2608	0.317086	0.22204	0.219936	0.240937	0.04101648	0.9442426
5	1	-3856.827	-3866.902	10.0754	0.7822219	0.2328259	0.12464	0.204844	0.22892	0.0475428	0.0689522	0.10386	0.139522	0.183202	0.113457	0.143418	0.147017	0.179255	0.0492592	0.0646124	0.121169	0.351339	0.158602	0.124806	0.1200565	0.03929215	0.0263671	0.298944	0.0116534	0.0323148	0.605993	0.0247273	0.02237929	-2.119792	0.00140561	0.0545988	0.463842	3.48015	0.406032	0.254024	0.215794	0.12415	0.06167145	0.3628793
6	0	-3727.679	-3733.78	6.100819	0.5588944	0.2129075	0.250054	0.155165	0.326607	0.0995205	0.164202	0.179472	0.111157	0.0917066	0.168642	0.078271	0.0922605	0.185797	0.433168	0.176299	0.0500843	0.140976	0.171986	0.20753	0.1389498	0.08584156	0.0377041	0.507774	0.000770513	0.0110765	0.428548	0.0141267	0.02351989	-1.973642	0.000807271	0.0415379	0.416498	3.54116	0.317662	0.28589	0.160924	0.235524	0.1093614	0.2150656
7	1	-3740.818	-3748.394	7.576455	0.8402032	0.2010205	0.229234	0.243862	0.30432	0.0543824	0.0692582	0.0648749	0.110248	0.160866	0.0570803	0.156102	0.191193	0.0943992	0.0406523	0.208974	0.211119	0.213354	0.152804	0.160539	0.1189955	-0.007298374	0.0250714	0.340861	0.0137648	0.0319645	0.573087	0.0152512	0.02040848	-2.12867	0.000550149	0.0343663	0.386316	3.57877	0.275044	0.284002	0.190647	0.250306	0.01311011	1.556698
8	0	-3721.101	-3727.057	5.956155	0.6380281	0.1932937	0.157204	0.140562	0.3303	0.111683	0.264381	0.138391	0.0518088	0.0710116	0.0995368	0.0338775	0.0509683	0.173304	0.180135	0.0883557	0.176405	0.246667	0.0445104	0.157185	0.1018477	0.1998277	0.0200054	0.449503	0.00104443	0.0114329	0.495418	0.0225963	0.01558228	-2.284277	0.000418032	0.0299984	0.365929	3.60365	0.301469	0.292208	0.152721	0.253602	0.21541	0.0723378
9	1	-3718.614	-3723.964	5.350015	0.693597	0.2481079	0.122006	0.157726	0.305404	0.0592809	0.0612499	0.11151	0.0805495	0.151242	0.0702816	0.148954	0.159954	0.0987297	0.0660406	0.781923	0.166874	0.228492	0.238994	0.114179	0.1230321	-0.02599605	0.0175966	0.477339	0.015596	0.0202101	0.458018	0.0112401	0.02847556	-2.09531	0.00202475	0.065327	0.497479	3.43517	0.292507	0.306196	0.125439	0.275857	0.002479516	11.48432
10	0	-3713.538	-3714.669	1.13073	0.5904717	0.1751954	0.175142	0.107845	0.352072	0.161154	0.395166	0.169891	0.0812666	0.0378786	0.041094	0.0523852	0.093814	0.092425	0.372246	0.111287	0.0787663	0.311181	0.173958	0.315137	0.1410053	0.08711915	0.00986661	0.607807	0.000260731	0.00863965	0.346573	0.0268532	0.01502806	-1.958958	0.000199776	0.0208015	0.315914	3.66308	0.310018	0.309718	0.115666	0.264598	0.1021472	0.1471216
11	1	-3708.001	-3716.423	8.421167	0.6347497	0.1807576	0.113086	0.137099	0.431044	0.0546567	0.0469797	0.0774162	0.113522	0.202302	0.118548	0.156354	0.110278	0.233438	0.0959073	0.0923945	0.101517	0.413271	0.071294	0.159316	0.1255684	-0.03207091	0.0161729	0.642588	0.00625212	0.0141288	0.312153	0.00870596	0.03588272	-2.074905	0.000254653	0.0234639	0.33161	3.64467	0.297211	0.310895	0.111803	0.280091	0.003811811	9.413562
12	0	-3712.198	-3715.648	3.449905	0.5659151	0.2015602	0.275929	0.23062	0.322249	0.143514	0.34286	0.196428	0.0997612	0.1167	0.191446	0.066028	0.0715464	0.109507	0.147231	0.117026	0.192126	0.0765293	0.0869685	0.633035	0.1439348	0.0416611	0.0158763	0.512423	0.000375913	0.0122691	0.434628	0.0244278	0.01306368	-1.938395	0.000560361	0.0346804	0.387718	3.57704	0.295595	0.295751	0.124302	0.284353	0.05472477	0.238716
13	1	-3716.094	-3719.594	3.500301	0.6323385	0.2319855	0.260986	0.3519	0.382114	0.0615175	0.0984181	0.159445	0.144249	0.162635	0.150379	0.175437	0.197103	0.48271	0.0725243	0.155958	0.123956	0.284615	0.133223	0.210584	0.1795625	-0.0275026	0.015395	0.45356	0.0101987	0.0116558	0.500813	0.00837773	0.03541277	-1.717232	0.00137575	0.0540249	0.461926	3.48267	0.277999	0.33517	0.130005	0.256826	0.007910171	4.476866
14	0	-3706.215	-3714.735	8.520296	0.5473204	0.2122693	0.244309	0.162213	0.346335	0.162262	0.253758	0.172269	0.122297	0.0654052	0.106391	0.0754455	0.0605488	0.061549	0.169069	0.1199	0.134889	0.0749823	0.131436	0.265741	0.1150401	0.06705116	0.0235327	0.584539	0.00101943	0.00451151	0.35833	0.0280677	0.006313367	-2.162475	0.000791687	0.0411399	0.414915	3.54315	0.294783	0.297461	0.124185	0.283572	0.07336452	0.08605477
15	1	-3708.601	-3708.479	-0.1222268	0.6417668	0.1674873	0.253235	0.42482	0.718029	0.044469	0.0463697	0.0876848	0.134795	0.143014	0.0978518	0.133129	0.139674	0.175208	0.0872451	0.105698	0.277821	0.162759	0.139073	0.364687	0.130825	-0.09331214	0.00798212	0.547833	0.0107126	0.00921635	0.41565	0.00860542	0.1004921	-2.033894	0.000138954	0.0173695	0.293727	3.68876	0.293999	0.299115	0.13378	0.273105	0.007179918	13.99627
16	0	-3720.126	-3723.701	3.575239	0.6032998	0.1858188	0.149769	0.0554379	0.3272	0.146697	0.158351	0.126038	0.0658963	0.127507	0.187866	0.101006	0.0543088	0.258833	0.133378	0.214973	0.0749026	0.376515	0.0788352	0.54156	0.1169226	0.01182192	0.00881112	0.580098	0.001463	0.00653755	0.379121	0.02397	0.003766432	-2.146243	0.00031359	0.0260158	0.345646	3.62802	0.296671	0.28745	0.134074	0.281805	0.01558835	0.2416183
17	1	-3711.522	-3710.706	-0.8165761	0.5186668	0.1711268	0.202697	0.233261	0.637014	0.0300786	0.10599	0.116328	0.137583	0.184114	0.146656	0.126559	0.225406	0.435436	0.0889768	0.219724	0.202354	0.160524	0.107551	0.401046	0.1687028	-0.09958617	0.0058795	0.538324	0.00664428	0.0127158	0.433899	0.00253781	0.1152399	-1.779617	0.000165613	0.0189519	0.304264	3.67662	0.295709	0.323597	0.128542	0.252152	0.01565371	7.361825
18	0	-3714.396	-3720.482	6.08635	0.6551892	0.1693956	0.291469	0.168085	0.441346	0.121917	0.129724	0.111034	0.103091	0.198401	0.191109	0.0748956	0.0439509	0.222915	0.210964	0.102366	0.0924329	0.113247	0.128663	0.315517	0.1698252	0.006339034	0.0112238	0.465118	0.003134	0.0193036	0.47115	0.0300706	0.001936894	-1.772986	0.000152492	0.0181906	0.299265	3.68239	0.316678	0.285082	0.143115	0.255125	0.008275928	0.2340394
19	1	-3713.426	-3720.67	7.244791	0.6332244	0.2201479	0.349015	0.119229	0.368776	0.0432715	0.134791	0.0818561	0.111425	0.136096	0.130979	0.13064	0.131838	0.237813	0.0985127	0.0564434	0.0851485	0.19647	0.0679001	0.32978	0.1280908	-0.02794453	0.00474218	0.547294	0.0164396	0.0176914	0.408364	0.00546928	0.04367249	-2.055016	0.000999132	0.0461471	0.434175	3.51868	0.312595	0.291668	0.129187	0.26655	0.01572795	2.776743
20	0	-3714.949	-3716.86	1.910679	0.6727817	0.2429927	0.307863	0.303191	0.36404	0.119525	0.295642	0.162624	0.111843	0.0881326	0.171338	0.0641863	0.0785231	0.314017	0.130151	0.166734	0.336372	0.156042	0.145623	0.391712	0.141613	0.002250095	0.00959876	0.477933	0.00213133	0.0156137	0.470924	0.0237991	0.0005553449	-1.954658	0.00180111	0.0616782	0.486473	3.45005	0.315538	0.287656	0.1426	0.254206	0.00280544	0.1979529
21	1	-3713.32	-3722.76	9.440472	0.5748784	0.2128765	0.167171	0.10627	0.348609	0.0532863	0.0779896	0.0891753	0.123163	0.302426	0.140617	0.122787	0.168085	0.142281	0.0421435	0.107599	0.102976	0.189424	0.183329	0.142493	0.1154454	-0.08371332	0.00413689	0.504843	0.00989038	0.0165586	0.458418	0.00615355	0.09218328	-2.158957	0.00080651	0.0415185	0.416422	3.54125	0.300512	0.329389	0.112589	0.25751	0.008469963	10.88355
22	0	-3710.222	-3712.094	1.871849	0.628702	0.2327023	0.187693	0.163432	0.271522	0.101041	0.233049	0.143601	0.084967	0.0342132	0.111378	0.0477386	0.0621727	0.231521	0.104195	0.164226	0.435702	0.245102	0.0720746	0.323226	0.179968	0.00538625	0.00855194	0.525905	0.0124265	0.00863652	0.434723	0.00975721	0.0004881809	-1.714976	0.00140119	0.0545143	0.463561	3.48052	0.301041	0.295828	0.124994	0.278137	0.005874431	0.08310267
23	1	-3716.718	-3714.125	-2.592092	0.4398852	0.1919996	0.363853	0.352579	0.422527	0.0716064	0.249711	0.184795	0.162134	0.538424	0.168457	0.325056	0.122097	0.44443	0.0918598	0.299714	0.116774	0.271685	0.26438	0.212511	0.2359181	-0.06378238	0.0137129	0.502387	0.0100262	0.00441861	0.461245	0.00821011	0.06894906	-1.444271	0.000398375	0.0292913	0.362457	3.60785	0.31377	0.298746	0.119753	0.267731	0.005166684	13.34493
24	0	-3709.989	-3710.701	0.712597	0.6399373	0.1875297	0.192846	0.202487	0.482053	0.0918182	0.232253	0.13272	0.143822	0.0908109	0.219883	0.0558363	0.0772261	0.199076	0.18117	0.145541	0.150209	0.452443	0.394251	0.453898	0.1621371	0.01330946	0.00802122	0.502045	0.00724827	0.00962342	0.464362	0.00869991	0.001195006	-1.819313	0.000335597	0.0269053	0.350336	3.62242	0.287259	0.303074	0.124717	0.28495	0.01450447	0.08238883
25	1	-3715.955	-3714.42	-1.534662	0.4337587	0.1967902	0.209302	0.136899	0.451598	0.0808615	0.0625226	0.148941	0.214674	0.434971	0.231655	0.198771	0.472746	0.311362	0.121233	0.0850845	0.146629	0.480429	0.244555	0.205789	0.2114384	-0.0637207	0.0146226	0.49746	0.00302225	0.00613498	0.467646	0.0111142	0.06593728	-1.553822	0.000474619	0.0319445	0.375229	3.59235	0.276368	0.310498	0.140857	0.272277	0.002216575	29.74737
26	0	-3709.197	-3714.506	5.308574	0.6543662	0.159092	0.159157	0.153691	0.451018	0.132577	0.212198	0.179256	0.148081	0.0701564	0.305781	0.0607656	0.0493242	0.0890603	0.118946	0.166757	0.103431	0.331597	0.279648	0.177778	0.1494145	0.01375279	0.00839056	0.555979	0.0106308	0.0127292	0.402164	0.010107	0.0008622365	-1.901031	8.98905e-05	0.0139881	0.269047	3.71687	0.28964	0.297297	0.125751	0.287312	0.01461503	0.05899656
27	1	-3713.17	-3710.136	-3.033883	0.3304996	0.1962462	0.213363	0.188539	0.593613	0.0842785	0.108215	0.188527	0.207272	0.392895	0.221288	0.202443	0.0940079	0.349082	0.139105	0.546443	0.0644992	0.137119	0.053658	0.286802	0.1443583	-0.09615615	0.00969887	0.516645	0.00586554	0.00841343	0.444305	0.0150717	0.09826339	-1.935457	0.000465474	0.0316383	0.37379	3.59411	0.294243	0.302828	0.137378	0.265551	0.002107245	46.63121
