Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5860.02	-5879.98	19.96031	0.9121718	1	0.0921463	0.083384	0.0689233	0.0291799	0.0954088	0.154133	0.136625	0.0627587	0.0983856	0.104656	0.0371781	0.0566842	0.0613314	0.0982599	0.0815665	0.102264	0.0577962	0.0529927	0.06302352	-0.1585745	0.144041	0.337444	0.0684506	0.100125	0.273576	0.076363	0.179598	-2.764247	0.136954	0.476752	1	2.38629	0.334401	0.602209	0.056024	0.00736547	0.02102346	8.542744
10	-4519.02	-4532.263	13.24302	0.7032255	0.2588794	0.0953242	0.127742	0.128413	0.0306666	0.0576701	0.12508	0.135928	0.10555	0.0992132	0.119581	0.144993	0.144262	0.0407549	0.0752524	0.108883	0.149875	0.276216	0.0509929	0.09036707	-0.09068389	0.0574696	0.323612	0.0455916	0.0707804	0.446225	0.0563217	0.1346323	-2.403875	0.00255168	0.0731732	0.519841	3.40443	0.448362	0.288092	0.235969	0.027578	0.04394842	3.063416
20	-3856.827	-3866.902	10.0754	0.7822219	0.2328259	0.12464	0.204844	0.22892	0.0475428	0.0689522	0.10386	0.139522	0.183202	0.113457	0.143418	0.147017	0.179255	0.0492592	0.0646124	0.121169	0.351339	0.158602	0.124806	0.1200565	0.03929215	0.0263671	0.298944	0.0116534	0.0323148	0.605993	0.0247273	0.02237929	-2.119792	0.00140561	0.0545988	0.463842	3.48015	0.406032	0.254024	0.215794	0.12415	0.06167145	0.3628793
30	-3740.818	-3748.394	7.576455	0.8402032	0.2010205	0.229234	0.243862	0.30432	0.0543824	0.0692582	0.0648749	0.110248	0.160866	0.0570803	0.156102	0.191193	0.0943992	0.0406523	0.208974	0.211119	0.213354	0.152804	0.160539	0.1189955	-0.007298374	0.0250714	0.340861	0.0137648	0.0319645	0.573087	0.0152512	0.02040848	-2.12867	0.000550149	0.0343663	0.386316	3.57877	0.275044	0.284002	0.190647	0.250306	0.01311011	1.556698
40	-3718.614	-3723.964	5.350015	0.693597	0.2481079	0.122006	0.157726	0.305404	0.0592809	0.0612499	0.11151	0.0805495	0.151242	0.0702816	0.148954	0.159954	0.0987297	0.0660406	0.781923	0.166874	0.228492	0.238994	0.114179	0.1230321	-0.02599605	0.0175966	0.477339	0.015596	0.0202101	0.458018	0.0112401	0.02847556	-2.09531	0.00202475	0.065327	0.497479	3.43517	0.292507	0.306196	0.125439	0.275857	0.002479516	11.48432
50	-3708.001	-3716.423	8.421167	0.6347497	0.1807576	0.113086	0.137099	0.431044	0.0546567	0.0469797	0.0774162	0.113522	0.202302	0.118548	0.156354	0.110278	0.233438	0.0959073	0.0923945	0.101517	0.413271	0.071294	0.159316	0.1255684	-0.03207091	0.0161729	0.642588	0.00625212	0.0141288	0.312153	0.00870596	0.03588272	-2.074905	0.000254653	0.0234639	0.33161	3.64467	0.297211	0.310895	0.111803	0.280091	0.003811811	9.413562
60	-3716.094	-3719.594	3.500301	0.6323385	0.2319855	0.260986	0.3519	0.382114	0.0615175	0.0984181	0.159445	0.144249	0.162635	0.150379	0.175437	0.197103	0.48271	0.0725243	0.155958	0.123956	0.284615	0.133223	0.210584	0.1795625	-0.0275026	0.015395	0.45356	0.0101987	0.0116558	0.500813	0.00837773	0.03541277	-1.717232	0.00137575	0.0540249	0.461926	3.48267	0.277999	0.33517	0.130005	0.256826	0.007910171	4.476866
70	-3708.601	-3708.479	-0.1222268	0.6417668	0.1674873	0.253235	0.42482	0.718029	0.044469	0.0463697	0.0876848	0.134795	0.143014	0.0978518	0.133129	0.139674	0.175208	0.0872451	0.105698	0.277821	0.162759	0.139073	0.364687	0.130825	-0.09331214	0.00798212	0.547833	0.0107126	0.00921635	0.41565	0.00860542	0.1004921	-2.033894	0.000138954	0.0173695	0.293727	3.68876	0.293999	0.299115	0.13378	0.273105	0.007179918	13.99627
80	-3711.522	-3710.706	-0.8165761	0.5186668	0.1711268	0.202697	0.233261	0.637014	0.0300786	0.10599	0.116328	0.137583	0.184114	0.146656	0.126559	0.225406	0.435436	0.0889768	0.219724	0.202354	0.160524	0.107551	0.401046	0.1687028	-0.09958617	0.0058795	0.538324	0.00664428	0.0127158	0.433899	0.00253781	0.1152399	-1.779617	0.000165613	0.0189519	0.304264	3.67662	0.295709	0.323597	0.128542	0.252152	0.01565371	7.361825
90	-3713.426	-3720.67	7.244791	0.6332244	0.2201479	0.349015	0.119229	0.368776	0.0432715	0.134791	0.0818561	0.111425	0.136096	0.130979	0.13064	0.131838	0.237813	0.0985127	0.0564434	0.0851485	0.19647	0.0679001	0.32978	0.1280908	-0.02794453	0.00474218	0.547294	0.0164396	0.0176914	0.408364	0.00546928	0.04367249	-2.055016	0.000999132	0.0461471	0.434175	3.51868	0.312595	0.291668	0.129187	0.26655	0.01572795	2.776743
100	-3713.32	-3722.76	9.440472	0.5748784	0.2128765	0.167171	0.10627	0.348609	0.0532863	0.0779896	0.0891753	0.123163	0.302426	0.140617	0.122787	0.168085	0.142281	0.0421435	0.107599	0.102976	0.189424	0.183329	0.142493	0.1154454	-0.08371332	0.00413689	0.504843	0.00989038	0.0165586	0.458418	0.00615355	0.09218328	-2.158957	0.00080651	0.0415185	0.416422	3.54125	0.300512	0.329389	0.112589	0.25751	0.008469963	10.88355
